hub_id,company_name,region,sido,address,matched_address,lat,lon,area_m2,fixed_cost,capacity_tons,storage_item,geocoding_status
WH_00012,주식회사 탑로지스,경기도,경기도,"경기도 이천시 호법면 덕평로 472-67, 켄달스퀘어 호법DC2 1,2층",경기 이천시 호법면 덕평로 472-67,37.2079126279408,127.390369880283,13469.28,13469280.0,1346928.0,"일반식품류, 공산품",High-Confidence (Kakao)
WH_00013,롯데글로벌로지스(주),경기도,경기도,경기도 여주시 가남읍 경충대로 1473-67,경기 여주시 가남읍 경충대로 1473-67,37.2081434232027,127.534859169379,21204.0,21204000.0,2120400.0,의류 및 잡화,High-Confidence (Kakao)
WH_00014,주식회사 딜리셔스,경기도,경기도,경기도 남양주시 오남읍 진건오남로667번길 64-32,경기 남양주시 오남읍 진건오남로667번길 64-32,37.6923242635854,127.209415041784,1996.0,1996000.0,199600.0,"의류, 잡화",High-Confidence (Kakao)
WH_00015,주식회사 원에프엔씨,경기도,경기도,"경기도 이천시 마장면 이장로 148-46, 3,4층",경기 이천시 마장면 이장로 148-46,37.2649934304533,127.382848410719,13573.0,13573000.0,1357300.0,의류,High-Confidence (Kakao)
WH_00016,주식회사 휠라선,경기도,경기도,"경기도 김포시 양촌읍 학운산단5로가길 5, 9층 A호",경기 김포시 양촌읍 학운산단5로가길 5,37.6163281406644,126.593356876517,6673.62,6673620.0,667362.0,"화장품 및 의류, 캐리어, 의약품",High-Confidence (Kakao)
WH_00017,(주)리치개발,경기도,경기도,"경기도 안성시 죽산면 송문주로 219, A동",경기 안성시 죽산면 송문주로 219,37.0275899297305,127.442816052063,3774.0,3774000.0,377400.0,"아이스크림, 원재료, 식품",High-Confidence (Kakao)
WH_00018,(주)씨제이대한통운,충청북도,충청북도,충청북도 음성군 금왕읍 오선산단로 44-6,충북 음성군 금왕읍 오선산단로 44-6,36.9748397738482,127.569462288798,5910.0,5910000.0,591000.0,식품,High-Confidence (Kakao)
WH_00019,(주)씨제이대한통운,충청북도,충청북도,충청북도 음성군 삼성면 대성로 355,충북 음성군 삼성면 대성로 355,36.9981561600885,127.497385289995,41090.0,41090000.0,4109000.0,식품,High-Confidence (Kakao)
WH_00020,(주)씨제이대한통운,충청북도,충청북도,충청북도 음성군 금왕읍 오선산단로 44-6,충북 음성군 금왕읍 오선산단로 44-6,36.9748397738482,127.569462288798,5907.0,5907000.0,590700.0,식품,High-Confidence (Kakao)
WH_00021,(주)씨제이대한통운,충청북도,충청북도,충청북도 음성군 대소읍 삼양로 1080,충북 음성군 대소읍 삼양로 1080,36.9524530870375,127.449471811251,71476.0,71476000.0,7147600.0,식품,High-Confidence (Kakao)
WH_00022,주식회사 휠라선,경기도,경기도,경기도 안성시 양성면 양성로 301,경기 안성시 양성면 양성로 301,37.0803603364989,127.205581183079,12571.67,12571670.0,1257167.0,화장품 및 의류 등,High-Confidence (Kakao)
WH_00023,씨제이대한통운 주식회사,충청북도,충청북도,충청북도 진천군 이월면 미잠리 452-14,,36.6357,127.4913,5885.0,5885000.0,588500.0,심품,Low-Confidence (Fallback)
WH_00024,동원로엑스 주식회사,전라남도,전라남도,전라남도 광양시 담안길 110 (태인동),전남 광양시 담안길 110,34.9411645573753,127.752144057192,28508.0,28508000.0,2850800.0, ,High-Confidence (Kakao)
WH_00025,(주)위더스메디,부산광역시,부산광역시,부산광역시 남구 신선로 217-12 (감만동),부산 남구 신선로 217-12,35.1115459192348,129.088349877384,2999.12,2999120.0,299912.0,"병원 진료 위생재료, 사무용품 등",High-Confidence (Kakao)
WH_00026,쿠팡로지스틱스서비스 유한회사,경기도,경기도,"경기도 양주시 은현면 화합로1002번길 12, 1, 2층",,37.4138,127.5183,11631.64,11631640.0,1163164.0,물류 운송 서비스,Low-Confidence (Fallback)
WH_00027,로지비엠씨(주),경기도,경기도,경기도 안성시 일죽면 고목남길 95-31,경기 안성시 일죽면 고목남길 95-31,37.1217156922204,127.440511025582,5265.07,5265070.0,526507.0,"여행용가방, 홍삼즙, 비타민C, 종이포장재, 인테리어소품",High-Confidence (Kakao)
WH_00028,쿠팡로지스틱스서비스 유한회사,경상남도,경상남도,"경상남도 사천시 축동면 서삼로 1343, 경남물류센터",경남 사천시 축동면 서삼로 1343,35.0941627511005,128.059089449468,3074.4,3074400.0,307440.0,물류 운송 서비스,High-Confidence (Kakao)
WH_00029,씨제이대한통운 주식회사,충청북도,충청북도,충청북도 진천군 이월면 궁동길 46-6,충북 진천군 이월면 궁동길 46-6,36.9045321101737,127.436122747604,4130.0,4130000.0,413000.0,식품,High-Confidence (Kakao)
WH_00030,로지스팟한록 이천지점,경기도,경기도,"경기도 이천시 대월면 경충대로1687번길 205, 지하2층",경기 이천시 대월면 경충대로1687번길 205,37.2269448768482,127.511249269236,4487.2,4487200.0,448720.0,가공식품류 등 식자재,High-Confidence (Kakao)
WH_00031,씨제이대한통운(주),경기도,경기도,경기도 남양주시 진접읍 남가로131번길 7-1,경기 남양주시 진접읍 남가로131번길 7-1,37.6941553966786,127.178110534504,3963.17,3963170.0,396317.0,불특정 택배화물,High-Confidence (Kakao)
WH_00032,롯데글로벌로지스(주),경기도,경기도,경기도 안성시 서운면 서미로 51,경기 안성시 서운면 서미로 51,36.9304144242648,127.223868637225,30647.0,30647000.0,3064700.0,"빙과, 식품, 유지",High-Confidence (Kakao)
WH_00033,(주)지에스네트웍스 부산지점,부산광역시,부산광역시,"부산광역시 강서구 미음국제2로 58, (주)지에스네트웍스부산지점 1층및4층 (미음동)",부산 강서구 미음국제2로 58,35.1491215122664,128.871216985809,19051.09,19051090.0,1905109.0,"공산품, 농축수산물 냉장,냉동품",High-Confidence (Kakao)
WH_00034,주식회사 한진,경기도,경기도,"경기도 김포시 양촌읍 학운산단5로가길 22, 3층",경기 김포시 양촌읍 학운산단5로가길 22,37.6143657106055,126.591739084292,12725.830000000002,12725830.000000002,1272583.0000000002,식품류,High-Confidence (Kakao)
WH_00035,롯데글로벌로지스 주식회사,경기도,경기도,"경기도 김포시 양촌읍 학운산단5로가길 22, 5층",경기 김포시 양촌읍 학운산단5로가길 22,37.6143657106055,126.591739084292,25597.71,25597710.0,2559771.0,가전 및 가구,High-Confidence (Kakao)
WH_00036,주식회사 두발로싹스,경기도,경기도,경기도 의정부시 쌀광길 69 (고산동),경기 의정부시 쌀광길 69,37.7335682903316,127.109453970707,271.06,271060.0,27106.0,"양말, 스타킹, 의류 등 패션잡화",High-Confidence (Kakao)
WH_00037,쿠팡로지스틱스 유한회사,경기도,경기도,"경기도 시흥시 시화벤처로 400, 그린웨이브 3층 (정왕동)",경기 시흥시 시화벤처로 400,37.312212124157,126.718248684661,6056.0,6056000.0,605600.0,생?용품 등,High-Confidence (Kakao)
WH_00038,쿠팡로지스틱스서비스 유한회사 중구1모바일(성수동),서울특별시,서울특별시,"서울특별시 성동구 아차산로13길 30, 성수물류센터 (성수동2가)",서울 성동구 아차산로13길 30,37.5454839162578,127.061921573801,12261.77,12261770.0,1226177.0,물류 운송 서비스,High-Confidence (Kakao)
WH_00039,주식회사 대연산업사,경상남도,경상남도,경상남도 진주시 문산읍 동부로 605,경남 진주시 문산읍 동부로 605,35.1686348882429,128.166184761801,4367.02,4367020.0,436702.00000000006, ,High-Confidence (Kakao)
WH_00040,주식회사 렉스몬드,경기도,경기도,"경기도 군포시 번영로 82-2, 한국복합물류(주) B동 B동 5층 (부곡동)",경기 군포시 번영로 82-2,37.330388813041,126.940171104586,8515.7,8515700.0,851570.0000000001,"의류 및 잡화, 레저용품",High-Confidence (Kakao)
WH_00041,(주)비지에프로지스 서인천센터,인천광역시,인천광역시,"인천광역시 서구 원석로 196, 1층 (원창동)",인천 서구 원석로 196,37.5136504762534,126.642759295262,14118.48,14118480.0,1411848.0,"공산품,주류,잡화,담배,냉장,냉동",High-Confidence (Kakao)
WH_00042,씨제이대한통운(주) 빽다방센터,경기도,경기도,"경기도 이천시 대월면 경충대로1687번길 205, 지하 2층",경기 이천시 대월면 경충대로1687번길 205,37.2269448768482,127.511249269236,6013.25,6013250.0,601325.0,"식품냉동/냉장품 및 아이스크림, 우유, 부자재 등",High-Confidence (Kakao)
WH_00043,주식회사 신안스퀘어,경기도,경기도,"경기도 고양시 일산동구 탑삭골길 371-11, 가동 1, 3층 (설문동)",경기 고양시 일산동구 탑삭골길 371-11,37.72728040497,126.795322038047,1367.4,1367400.0,136740.0,"구급용 물품, 보호복(화재), 위생용품, 마스크 등",High-Confidence (Kakao)
WH_00044,에스지씨이앤씨 주식회사,경기도,경기도,경기도 안성시 원곡면 남북대로 1048-6,경기 안성시 원곡면 남북대로 1048-6,37.0342865303922,127.144800400571,22733.71,22733710.0,2273371.0,"육류, 수산물 등",High-Confidence (Kakao)
WH_00045,(주)디에스브이컨트랙트로지스틱스,경기도,경기도,"경기도 화성시 동탄구 동탄산단3길 19-22, 상원로지스틱 (방교동)",경기 화성시 동탄구 동탄산단3길 19-22,37.1628113379959,127.083662480479,2889.26,2889260.0,288926.0,반도체 장비 부품,High-Confidence (Kakao)
WH_00046,대화물류(주),경기도,경기도,경기도 이천시 마장면 억만리로22번길 221-28,경기 이천시 마장면 억만리로22번길 221-28,37.2592883030709,127.371602524801,11593.67,11593670.0,1159367.0,할인점 제품,High-Confidence (Kakao)
WH_00047,(주)아워홈,경기도,경기도,경기도 용인시 처인구 남사읍 경기동로 386-12,경기 용인시 처인구 남사읍 경기동로 386-12,37.1380937538705,127.166429386132,11301.6,11301600.0,1130160.0,"가공식품, 포장식품",High-Confidence (Kakao)
WH_00048,주식회사 현아로지스,경기도,경기도,경기도 용인시 처인구 원삼면 맹리로 76-9,경기 용인시 처인구 원삼면 맹리로 76-9,37.1952389399756,127.334346370292,1890.0,1890000.0,189000.0,"공산품, 소형가전, 의류, 식품",High-Confidence (Kakao)
WH_00049,(주)나라로지스틱스 백사센터,경기도,경기도,경기도 이천시 백사면 청백리로393번길 353,경기 이천시 백사면 청백리로393번길 353,37.327415163623,127.492345780283,16052.3,16052300.0,1605230.0,"맥주, 위스키, 와인 등",High-Confidence (Kakao)
WH_00050,주식회사 메이크스타,경기도,경기도,경기도 이천시 마장면 덕평로 965,경기 이천시 마장면 덕평로 965,37.2441839332438,127.361142301973,6967.47,6967470.0,696747.0,음반CD,High-Confidence (Kakao)
WH_00051,오진상사 주식회사,경기도,경기도,"경기도 김포시 양촌읍 황금산단3로 77, 4층",경기 김포시 양촌읍 황금산단3로 77,37.5993349233118,126.601669632492,3277.97,3277970.0,327797.0,"컴퓨터 주변기기, 생황잡화 등",High-Confidence (Kakao)
WH_00052,(주)케이씨티시 백암물류센터,경기도,경기도,경기도 용인시 처인구 백암면 고안로51번길 136-14,경기 용인시 처인구 백암면 고안로51번길 136-14,37.1401826338214,127.412722673481,10221.0,10221000.0,1022100.0,"생활용품, 동물의약품 외",High-Confidence (Kakao)
WH_00053,롯데글로벌로지스(주),경기도,경기도,경기도 안성시 원곡면 지문로 459-14,경기 안성시 원곡면 지문로 459-14,37.074163739564,127.152682183917,50244.41,50244410.0,5024441.0,가전 및 가구 제품,High-Confidence (Kakao)
WH_00054,글로벌통상주식회사,경상남도,경상남도,경상남도 함양군 지곡면 함양로 2375,경남 함양군 지곡면 함양로 2375,35.6010409478694,127.774748731385,3388.75,3388750.0,338875.0,"수입과일, 배추",High-Confidence (Kakao)
WH_00055,쿠팡로지스틱스서비스(유),전라남도,전라남도,"전라남도 목포시 대양산단로125번길 46, 외 1필지(대양산단로125번길48) (대양동)",,34.8679,126.991,4046.2,4046200.0,404620.0,물류 운송 서비스,Low-Confidence (Fallback)
WH_00056,(주)케이씨티시 백암물류센터,경기도,경기도,경기도 용인시 처인구 백암면 고안로51번길 136-11,경기 용인시 처인구 백암면 고안로51번길 136-11,37.1407163999677,127.413761837391,10669.0,10669000.0,1066900.0,"생활용품, 동물의약품 등",High-Confidence (Kakao)
WH_00057,로젠택배인천루원 주식회사,인천광역시,인천광역시,인천광역시 서구 호두산로10번길 38-5 (경서동),인천 서구 호두산로10번길 38-5,37.5467952674469,126.647283842257,437.28,437280.0,43728.0,생활용품,High-Confidence (Kakao)
WH_00058,쿠팡로지스틱스서비스 유한회사,인천광역시,인천광역시,"인천광역시 서구 북항로120번길 55, 1층 (원창동)",인천 서구 북항로120번길 55,37.5120562778127,126.631853630722,32462.12,32462120.0,3246212.0,물류운송서비스,High-Confidence (Kakao)
WH_00059,페로(Ferro),경기도,경기도,"경기도 가평군 청평면 경춘로 29, 3층",경기 가평군 청평면 경춘로 29,37.6788224992458,127.375809582489,5383.530000000001,5383530.000000001,538353.0000000001,가구류,High-Confidence (Kakao)
WH_00060,주식회사 로풀,경기도,경기도,경기도 여주시 가남읍 본두1길 17-52,경기 여주시 가남읍 본두1길 17-52,37.2313919328999,127.5774700489,4092.58,4092580.0,409258.0,"채소, 과일 및 뿌리 작물 등",High-Confidence (Kakao)
WH_00061,(주)천안물류,전북특별자치도,전북특별자치도,전북특별자치도 익산시 왕궁면 국가식품로3길 46,전북특별자치도 익산시 왕궁면 국가식품로3길 46,35.979878057359,127.090722458734,8290.51,8290510.0,829051.0,"농식품(배추,콩, 식품류 등)",High-Confidence (Kakao)
WH_00062,한국일본통운(주),경기도,경기도,"경기도 안성시 원곡면 지문로 459-14, 3층",경기 안성시 원곡면 지문로 459-14,37.074163739564,127.152682183917,13541.58,13541580.0,1354158.0,반도체 설비의 예비부품류,High-Confidence (Kakao)
WH_00063,한국복합물류(주),전라남도,전라남도,전라남도 장성군 서삼면 물류로 335,전남 장성군 서삼면 물류로 335,35.3201552830792,126.753895775357,1259.5,1259500.0,125950.0,마른 김,High-Confidence (Kakao)
WH_00064,주식회사 엘엑스판토스,경상남도,경상남도,경상남도 김해시 상동면 상동로 680-70,경남 김해시 상동면 상동로 680-70,35.3114034895569,128.939607156748,28329.0,28329000.0,2832900.0,가전제품,High-Confidence (Kakao)
WH_00065,주식회사 백패커,경기도,경기도,경기도 포천시 군내면 용정경제로2길 83,경기 포천시 군내면 용정경제로2길 83,37.8791403965973,127.208039283857,10042.73,10042730.0,1004273.0,문구류,High-Confidence (Kakao)
WH_00066,쿠팡로지스틱스서비스 유한회사,경상남도,경상남도,경상남도 창원시 진해구 웅동로 183 (두동),경남 창원시 진해구 웅동로 183,35.1179943483791,128.792763569076,9393.0,9393000.0,939300.0,택배물품,High-Confidence (Kakao)
WH_00067,주식회사 코너스톤,충청북도,충청북도,충청북도 충주시 중앙탑면 묘곡내동길 274,충북 충주시 중앙탑면 묘곡내동길 274,37.0542116588444,127.842349394808,1319.5,1319500.0,131950.0,"전자기기, 생활가전 등",High-Confidence (Kakao)
WH_00068,RAC-TEC(라텍),경상남도,경상남도,경상남도 창원시 의창구 북면 신촌본포로 315,경남 창원시 의창구 북면 신촌본포로 315,35.3551579054755,128.635618777139,5100.0,5100000.0,510000.0,"전동차부품, 전장품, 산업용자재 및 포장제품",High-Confidence (Kakao)
WH_00069,나리로지스 주식회사,인천광역시,인천광역시,"인천광역시 서구 거북로 13, 인천 석남동 에스앤케이 복합물류센터 6층 (석남동)",인천 서구 거북로 13,37.5044920307576,126.662915340446,8412.0,8412000.0,841200.0,"화장품, 생활용품 등",High-Confidence (Kakao)
WH_00070,동원로엑스(주) 포항지점,경상북도,경상북도,"경상북도 포항시 남구 오천읍 송덕로212번길 27, 1동",경북 포항시 남구 오천읍 송덕로212번길 27,35.9515940940565,129.389256211635,1763.0,1763000.0,176300.0,"코일, 후판 등",High-Confidence (Kakao)
WH_00071,롯데글로벌로지스(주),경기도,경기도,경기도 이천시 백사면 지읍로 54,경기 이천시 백사면 지읍로 54,37.3146920350994,127.484208242883,20770.0,20770000.0,2077000.0,"조립식가구, 공산품",High-Confidence (Kakao)
WH_00072,용마로지스(주),경기도,경기도,경기도 안성시 일죽면 고목남길 95-31,경기 안성시 일죽면 고목남길 95-31,37.1217156922204,127.440511025582,2633.36,2633360.0,263336.0,건강기능식품,High-Confidence (Kakao)
WH_00073,(주)에이알,경기도,경기도,경기도 평택시 진위면 삼남로 745-24,경기 평택시 진위면 삼남로 745-24,37.0879729701759,127.090107721118,4793.9,4793900.0,479390.0,"유제품, 견과류, 식품첨가물 등",High-Confidence (Kakao)
WH_00074,로지스 경북,대구광역시,대구광역시,대구광역시 군위군 효령면 하평길 115,대구 군위군 효령면 하평길 115,36.106854752967,128.580570264484,4350.0,4350000.0,435000.0,파렛트,High-Confidence (Kakao)
WH_00075,쿠팡로지스틱스 유한회사,경기도,경기도,경기도 화성시 동탄산단2길 7-35 (방교동),경기 화성시 동탄구 동탄산단2길 7-35,37.1644811677262,127.085568742932,5354.5,5354500.0,535450.0,물류 운송 서비스,High-Confidence (Kakao)
WH_00076,로젠 주식회사,경기도,경기도,"경기도 부천시 오정구 신흥로511번길 80, 켄달스퀘어 부천 로지스틱스파크 1층 (오정동)",경기 부천시 오정구 신흥로511번길 80,37.5297997555203,126.775646550568,25156.45,25156450.0,2515645.0,택배물품,High-Confidence (Kakao)
WH_00077,삼성전자로지텍(주),경기도,경기도,경기도 평택시 청북읍 백봉길 64,경기 평택시 청북읍 백봉길 64,37.0444941722986,126.974782086932,21031.16,21031160.0,2103116.0,삼성전자 가전/IT제품,High-Confidence (Kakao)
WH_00078,엠트랜스 주식회사,충청남도,충청남도,충청남도 천안시 동남구 목천읍 충절로 1079,충남 천안시 동남구 목천읍 충절로 1079,36.7731618549184,127.228375866701,4682.87,4682870.0,468287.0,합성수지 원료(EVA),High-Confidence (Kakao)
WH_00079,로젠주식회사,대전광역시,대전광역시,대전광역시 동구 안골로28번길 30 (구도동),대전 동구 안골로28번길 30,36.2712738012227,127.469862681991,10006.72,10006720.0,1000672.0,"택배용품 보관 및 분류, 발송",High-Confidence (Kakao)
WH_00080,씨제이대한통운(주),세종특별자치시,세종특별자치시,"세종특별자치시 부강면 연청로 745-46, 배송센터 A-1동",세종특별자치시 부강면 연청로 745-46,36.5419134477698,127.354914448846,3745.47,3745470.0,374547.0,pet용기 및 pet용기 반제품,High-Confidence (Kakao)
WH_00081,씨제이대한통운(주),세종특별자치시,세종특별자치시,"세종특별자치시 부강면 연청로 745-46, c-1-2동",세종특별자치시 부강면 연청로 745-46,36.5419134477698,127.354914448846,1831.41,1831410.0,183141.0,pet 용기 및 pet용기 반제품,High-Confidence (Kakao)
WH_00082,쿠팡로지스틱스서비스 유한회사(인천5지점),인천광역시,인천광역시,"인천광역시 미추홀구 염전로143번길 45, 지상1층 (도화동)",인천 미추홀구 염전로143번길 45,37.4812922958195,126.65912045706,14716.56,14716560.0,1471656.0,물류운송서비스,High-Confidence (Kakao)
WH_00083,유한회사 쿠팡로지스틱스서비스,광주광역시,광주광역시,"광주광역시 광산구 평동산단7번로 1, 연산동 1동 1,3,5,7층 (연산동)",,35.1595,126.8526,44587.34,44587340.0,4458734.0,택배,Low-Confidence (Fallback)
WH_00084,로지스영천,경상북도,경상북도,경상북도 영천시 대창면 금박로 931,경북 영천시 대창면 금박로 931,35.8739723701751,128.883653475596,5109.0,5109000.0,510900.0,"플라스틱 파렛트, 박스  및 스티로폼 패드",High-Confidence (Kakao)
WH_00085,(주)넥센,경기도,경기도,"경기도 시흥시 시화벤처로 400, 그린웨이브 8층층 (정왕동)",경기 시흥시 시화벤처로 400,37.312212124157,126.718248684661,12845.95,12845950.0,1284595.0,승용차용 타이어,High-Confidence (Kakao)
WH_00086,쿠팡로지스틱스서비스 유한회사(표선면),제주특별자치도,제주특별자치도,제주특별자치도 서귀포시 표선면 번영로 2517,제주특별자치도 서귀포시 표선면 번영로 2517,33.4077393928062,126.777143659276,1476.82,1476820.0,147682.0,물류운송서비스,High-Confidence (Kakao)
WH_00087,쿠팡로지스틱스서비스 유한회사(안덕면),제주특별자치도,제주특별자치도,제주특별자치도 서귀포시 안덕면 향교로 207,제주특별자치도 서귀포시 안덕면 향교로 207,33.2347501084148,126.291448976456,1465.77,1465770.0,146577.0,믈류운송서비스,High-Confidence (Kakao)
WH_00088,(주)에이원종합물류,경기도,경기도,"경기도 평택시 청북읍 청북양감로 136, 에스제이물류센터",경기 평택시 청북읍 청북양감로 136,37.0447674931703,126.904507976105,8522.0,8522000.0,852200.0,"자동차부품, 전기전자부품, 기계설비, 가공식품, 화장품, 생활용품 등",High-Confidence (Kakao)
WH_00089,(주)씨케이로지스틱스,경상남도,경상남도,경상남도 함양군 지곡면 함양로 2375,경남 함양군 지곡면 함양로 2375,35.6010409478694,127.774748731385,3397.75,3397750.0,339775.0,운수,High-Confidence (Kakao)
WH_00090,인터지스 주식회사,경기도,경기도,"경기도 이천시 마장면 이장로311번길 83, 롯데이천물류센터",경기 이천시 마장면 이장로311번길 83,37.2802213125454,127.386473837116,6486.0,6486000.0,648600.0,"화장품, 건기식, 의류",High-Confidence (Kakao)
WH_00091,주식회사로지스밸리에프에스,경기도,경기도,경기도 이천시 부발읍 부흥로 135,경기 이천시 부발읍 부흥로 135,37.3046854640636,127.532624505352,18513.0,18513000.0,1851300.0,의류 및 잡화,High-Confidence (Kakao)
WH_00092,주식회사 천안물류,경기도,경기도,경기도 안성시 공도읍 기업단지로 264,경기 안성시 공도읍 기업단지로 264,37.0147808746994,127.164914061071,8479.38,8479380.0,847937.9999999999,산업용 및 식품 소재,High-Confidence (Kakao)
WH_00093,쿠팡풀필먼트서비스 유한회사 INC(인천45),인천광역시,인천광역시,"인천광역시 미추홀구 염전로143번길 45, 도화물류창고 3-9층 (도화동)",인천 미추홀구 염전로143번길 45,37.4812922958195,126.65912045706,120996.12,120996120.0,12099612.0,"가구, 전자제품, 가공식품(상온), 생활용품 등",High-Confidence (Kakao)
WH_00094,주식회사 이음,경기도,경기도,경기도 이천시 대월면 양녕로 78,경기 이천시 대월면 양녕로 78,37.1783381314407,127.499962935175,7246.0,7246000.0,724600.0,발전기 부품,High-Confidence (Kakao)
WH_00095,주식회사 현대글로비스,인천광역시,인천광역시,"인천광역시 서구 북항단지로 91, 10,11(일부)층 (원창동)",,37.4563,126.7052,7249.35,7249350.0,724935.0,화장품 등 3PL,Low-Confidence (Fallback)
WH_00096,씨제이대한통운 주식회사,경기도,경기도,"경기도 군포시 번영로 82-6, 한국복합물류(주) F동 F동 4층 2,3,4구획호 (부곡동)",,37.4138,127.5183,6386.8,6386800.0,638680.0,화장품,Low-Confidence (Fallback)
WH_00097,쿠팡로지스틱스서비스유한회사,서울특별시,서울특별시,서울특별시 성북구 삼선교로 43 (삼선동4가),서울 성북구 삼선교로 43,37.5886927957975,127.010499005136,479.1,479100.0,47910.0,"일상생활용품,과자류 등 경량품",High-Confidence (Kakao)
WH_00098,쿠팡로지스틱스서비스 유한회사,경기도,경기도,"경기도 군포시 산본로 63, 1,2동 (당정동)",,37.4138,127.5183,5132.0,5132000.0,513200.0,택배물류,Low-Confidence (Fallback)
WH_00099,(주)제때,경상남도,경상남도,경상남도 김해시 한림면 김해대로1099번길 20-44,경남 김해시 한림면 김해대로1099번길 20-44,35.2975900572244,128.807778317045,6776.0,6776000.0,677600.0,"냉동냉장 식품, 유제품 등",High-Confidence (Kakao)
WH_00100,주식회사 디앤비파트너스 호법지점,경기도,경기도,경기도 이천시 호법면 중부대로866번길 85,경기 이천시 호법면 중부대로866번길 85,37.2404017527878,127.431039435765,13309.0,13309000.0,1330900.0,"랙설치, 지게차",High-Confidence (Kakao)
WH_00101,씨제이대한통운(주),경기도,경기도,경기도 포천시 가산면 부흥로 720,경기 포천시 가산면 부흥로 720,37.8120308326422,127.191248166303,4988.19,4988190.0,498819.0,불특정 택배화물,High-Confidence (Kakao)
WH_00102,엠에스에스로지스틱스(주),세종특별자치시,세종특별자치시,세종특별자치시 연기면 공단로 83,세종특별자치시 연기면 공단로 83,36.5525496485887,127.265928577907,6272.0,6272000.0,627200.0,화장지 및 기타 위생용품,High-Confidence (Kakao)
WH_00103,(주)스카이로드,인천광역시,인천광역시,"인천광역시 중구 공항동로296번길 98-114, 인천국제공항자유무역지역 A203호 (운서동)",인천 중구 공항동로296번길 98-114,37.4762266826232,126.4827394937,1320.35,1320350.0,132035.0,"전자제품, 의약품 등",High-Confidence (Kakao)
WH_00104,쿠팡로지스틱스서비스(유),인천광역시,인천광역시,인천광역시 중구 영종순환로900번길 30 (운북동),인천 중구 영종순환로900번길 30,37.5110358227268,126.497920572084,7863.6,7863600.0,786360.0,"부품,생활,소비재 등",High-Confidence (Kakao)
