rank,origin_region,destination_region,volume_ton,lane_type,share_of_total
53,전북특별자치도,충청남도,6856639.9707,inter-region,0.003914351869534323
54,강원특별자치도,충청남도,6452128.29,inter-region,0.003683422280061527
55,전라남도,전북특별자치도,6385127.219042519,inter-region,0.0036451723838318954
56,서울특별시,인천광역시,6348176.0778,inter-region,0.003624077537169075
57,서울특별시,충청남도,6139699.55,inter-region,0.0035050614462214494
58,전북특별자치도,경기도,6003074.1031,inter-region,0.003427064048693754
59,전라남도,경상남도,5881685.64257908,inter-region,0.003357765215823658
60,경상남도,울산광역시,5874478.9669701215,inter-region,0.0033536510339118764
61,전라남도,광주광역시,5659771.837460155,inter-region,0.0032310779868522264
62,인천광역시,충청남도,5589123.1597,inter-region,0.0031907457271663853
63,서울특별시,부산광역시,5340329.6726,inter-region,0.003048713295024783
64,충청남도,부산광역시,5308512.4673,inter-region,0.0030305493346036994
65,경기도,대구광역시,5295385.079,inter-region,0.003023055107525453
66,충청북도,경상남도,5289741.26,inter-region,0.003019833136771794
67,울산광역시,경상남도,5152558.873377837,inter-region,0.002941517790795298
68,충청남도,전라남도,5131641.9194,inter-region,0.002929576618696721
69,광주광역시,광주광역시,5103073.8100000005,intra-region,0.002913267517895628
70,대구광역시,대구광역시,5087224.14,intra-region,0.0029042191814420415
71,충청남도,대전광역시,5077345.390462902,inter-region,0.002898579553011142
72,충청남도,전북특별자치도,5061783.2622,inter-region,0.0028896953697785193
73,강원특별자치도,경상남도,5032590.36,inter-region,0.0028730295842345783
74,충청남도,경상남도,4889270.17,inter-region,0.002791210259307818
75,경기도,대전광역시,4882824.0824,inter-region,0.0027875302855661505
76,경상남도,경상북도,4489035.62,inter-region,0.0025627224189458593
77,인천광역시,서울특별시,4410526.287835872,inter-region,0.0025179026307630514
78,충청북도,강원특별자치도,4322314.9661,inter-region,0.0024675441237353513
79,충청북도,부산광역시,4272093.6332,inter-region,0.002438873525721212
80,전북특별자치도,경상북도,4258151.8193,inter-region,0.002430914355407856
81,전라남도,경상북도,4223675.5186,inter-region,0.0024112323577127237
82,서울특별시,충청북도,4177156.22,inter-region,0.0023846751949883485
83,강원특별자치도,전라남도,4125379.2278,inter-region,0.002355116494650719
84,서울특별시,전라남도,4093737.8037,inter-region,0.002337052885053332
85,전라남도,충청남도,4005970.9665,inter-region,0.002286948127512466
86,서울특별시,울산광역시,3971704.02,inter-region,0.0022673856469580416
87,경상북도,충청남도,3917213.52,inter-region,0.0022362778461316427
88,경상남도,전라남도,3857341.5768,inter-region,0.0022020978609203663
89,강원특별자치도,울산광역시,3844008.47,inter-region,0.0021944861922674544
90,부산광역시,충청북도,3792275.1406,inter-region,0.002164952418360779
91,충청남도,울산광역시,3695892.1,inter-region,0.0021099288008489653
92,경상남도,경기도,3686449.5528,inter-region,0.002104538193723109
93,충청남도,인천광역시,3675286.1622,inter-region,0.002098165183173892
94,전북특별자치도,경상남도,3639185.8107,inter-region,0.0020775560394841667
95,충청북도,서울특별시,3560025.0,inter-region,0.002032364332076236
96,인천광역시,경상북도,3536705.2775,inter-region,0.0020190514558343794
97,인천광역시,부산광역시,3459342.0993,inter-region,0.0019748859895835137
98,경상북도,충청북도,3433707.720140474,inter-region,0.0019602517109257125
99,대구광역시,경상북도,3400179.1,inter-region,0.0019411107297030434
100,경기도,광주광역시,3365050.3871,inter-region,0.0019210562797680832
