region_code,region,month,seasonal_index,monthly_demand_ton
5,광주광역시,11,0.92,1782671.3330382789
5,광주광역시,12,0.82,1588902.709881944
6,대전광역시,1,1.1,1971572.2238815993
6,대전광역시,2,0.92,1648951.3145191558
6,대전광역시,3,0.95,1702721.466079563
6,대전광역시,4,0.98,1756491.6176399703
6,대전광역시,5,1.0,1792338.3853469084
6,대전광역시,6,1.02,1828185.1530538464
6,대전광역시,7,1.06,1899878.6884677229
6,대전광역시,8,1.08,1935725.4561746612
6,대전광역시,9,1.12,2007418.9915885376
6,대전광역시,10,1.03,1846108.5369073157
6,대전광역시,11,0.92,1648951.3145191558
6,대전광역시,12,0.82,1469717.4759844649
7,울산광역시,1,1.1,13173949.633547286
7,울산광역시,2,0.92,11018212.420785
7,울산광역시,3,0.95,11377501.956245381
7,울산광역시,4,0.98,11736791.491705762
7,울산광역시,5,1.0,11976317.848679349
7,울산광역시,6,1.02,12215844.205652935
7,울산광역시,7,1.06,12694896.91960011
7,울산광역시,8,1.08,12934423.276573697
7,울산광역시,9,1.12,13413475.990520872
7,울산광역시,10,1.03,12335607.38413973
7,울산광역시,11,0.92,11018212.420785
7,울산광역시,12,0.82,9820580.635917066
8,세종특별자치시,1,1.1,1031439.9956116668
8,세종특별자치시,2,0.92,862658.9054206667
8,세종특별자치시,3,0.95,890789.0871191666
8,세종특별자치시,4,0.98,918919.2688176667
8,세종특별자치시,5,1.0,937672.7232833334
8,세종특별자치시,6,1.02,956426.177749
8,세종특별자치시,7,1.06,993933.0866803334
8,세종특별자치시,8,1.08,1012686.541146
8,세종특별자치시,9,1.12,1050193.4500773335
8,세종특별자치시,10,1.03,965802.9049818334
8,세종특별자치시,11,0.92,862658.9054206667
8,세종특별자치시,12,0.82,768891.6330923333
9,경기도,1,1.1,29800095.59880723
9,경기도,2,0.92,24923716.31900241
9,경기도,3,0.95,25736446.19896988
9,경기도,4,0.98,26549176.078937348
9,경기도,5,1.0,27090995.99891566
9,경기도,6,1.02,27632815.918893974
9,경기도,7,1.06,28716455.7588506
9,경기도,8,1.08,29258275.678828917
9,경기도,9,1.12,30341915.518785544
9,경기도,10,1.03,27903725.87888313
9,경기도,11,0.92,24923716.31900241
9,경기도,12,0.82,22214616.71911084
10,강원특별자치도,1,1.1,8073871.7303794455
10,강원특별자치도,2,0.92,6752692.719953718
10,강원특별자치도,3,0.95,6972889.221691338
10,강원특별자치도,4,0.98,7193085.723428959
10,강원특별자치도,5,1.0,7339883.39125404
10,강원특별자치도,6,1.02,7486681.059079122
10,강원특별자치도,7,1.06,7780276.394729284
10,강원특별자치도,8,1.08,7927074.062554364
10,강원특별자치도,9,1.12,8220669.398204526
10,강원특별자치도,10,1.03,7560079.892991662
10,강원특별자치도,11,0.92,6752692.719953718
10,강원특별자치도,12,0.82,6018704.380828313
11,충청북도,1,1.1,6826366.532813518
11,충청북도,2,0.92,5709324.736534943
11,충청북도,3,0.95,5895498.369248038
11,충청북도,4,0.98,6081672.001961134
11,충청북도,5,1.0,6205787.757103198
11,충청북도,6,1.02,6329903.512245262
11,충청북도,7,1.06,6578135.022529391
11,충청북도,8,1.08,6702250.7776714545
11,충청북도,9,1.12,6950482.287955583
11,충청북도,10,1.03,6391961.389816294
11,충청북도,11,0.92,5709324.736534943
11,충청북도,12,0.82,5088745.960824622
12,충청남도,1,1.1,16162414.743178148
12,충청남도,2,0.92,13517655.967021724
12,충청남도,3,0.95,13958449.096381126
12,충청남도,4,0.98,14399242.225740531
12,충청남도,5,1.0,14693104.311980134
12,충청남도,6,1.02,14986966.398219736
12,충청남도,7,1.06,15574690.570698943
12,충청남도,8,1.08,15868552.656938545
12,충청남도,9,1.12,16456276.829417752
12,충청남도,10,1.03,15133897.441339538
12,충청남도,11,0.92,13517655.967021724
12,충청남도,12,0.82,12048345.535823708
13,전북특별자치도,1,1.1,5638638.127571397
13,전북특별자치도,2,0.92,4715951.88851426
13,전북특별자치도,3,0.95,4869732.928357115
13,전북특별자치도,4,0.98,5023513.968199972
13,전북특별자치도,5,1.0,5126034.661428543
13,전북특별자치도,6,1.02,5228555.354657114
13,전북특별자치도,7,1.06,5433596.741114256
13,전북특별자치도,8,1.08,5536117.434342827
13,전북특별자치도,9,1.12,5741158.820799968
13,전북특별자치도,10,1.03,5279815.701271399
13,전북특별자치도,11,0.92,4715951.88851426
13,전북특별자치도,12,0.82,4203348.422371405
14,전라남도,1,1.1,15420336.274082506
14,전라남도,2,0.92,12897008.520141732
14,전라남도,3,0.95,13317563.145798527
14,전라남도,4,0.98,13738117.771455323
14,전라남도,5,1.0,14018487.521893186
14,전라남도,6,1.02,14298857.27233105
14,전라남도,7,1.06,14859596.773206778
14,전라남도,8,1.08,15139966.523644643
14,전라남도,9,1.12,15700706.024520371
14,전라남도,10,1.03,14439042.147549983
14,전라남도,11,0.92,12897008.520141732
14,전라남도,12,0.82,11495159.767952412
15,경상북도,1,1.1,12520264.160005057
15,경상북도,2,0.92,10471493.661095139
15,경상북도,3,0.95,10812955.410913456
15,경상북도,4,0.98,11154417.160731776
15,경상북도,5,1.0,11382058.327277323
15,경상북도,6,1.02,11609699.49382287
15,경상북도,7,1.06,12064981.826913964
15,경상북도,8,1.08,12292622.99345951
15,경상북도,9,1.12,12747905.326550603
15,경상북도,10,1.03,11723520.077095643
15,경상북도,11,0.92,10471493.661095139
15,경상북도,12,0.82,9333287.828367405
16,경상남도,1,1.1,11937778.875427296
16,경상남도,2,0.92,9984324.150357375
16,경상남도,3,0.95,10309899.937869027
16,경상남도,4,0.98,10635475.725380681
16,경상남도,5,1.0,10852526.25038845
16,경상남도,6,1.02,11069576.77539622
16,경상남도,7,1.06,11503677.82541176
16,경상남도,8,1.08,11720728.350419527
16,경상남도,9,1.12,12154829.400435066
16,경상남도,10,1.03,11178102.037900105
16,경상남도,11,0.92,9984324.150357375
16,경상남도,12,0.82,8899071.52531853
17,제주특별자치도,1,1.1,695871.3116666668
17,제주특별자치도,2,0.92,582001.4606666667
17,제주특별자치도,3,0.95,600979.7691666667
17,제주특별자치도,4,0.98,619958.0776666666
17,제주특별자치도,5,1.0,632610.2833333333
17,제주특별자치도,6,1.02,645262.4890000001
17,제주특별자치도,7,1.06,670566.9003333334
17,제주특별자치도,8,1.08,683219.106
17,제주특별자치도,9,1.12,708523.5173333334
17,제주특별자치도,10,1.03,651588.5918333334
17,제주특별자치도,11,0.92,582001.4606666667
17,제주특별자치도,12,0.82,518740.4323333333
