origin,destination,distance_km
Busan,WH_0229,330.91
Busan,WH_0230,330.73
Busan,WH_0231,326.92
Busan,WH_0232,354.56
Busan,WH_0233,342.6
Busan,WH_0234,314.54
Busan,WH_0235,341.96
Busan,WH_0236,316.37
Busan,WH_0237,336.93
Busan,WH_0238,329.84
Busan,WH_0239,342.8
Busan,WH_0240,328.96
Busan,WH_0241,333.32
Busan,WH_0242,311.72
Busan,WH_0243,318.25
Busan,WH_0244,341.76
Busan,WH_0245,336.05
Busan,WH_0246,329.87
Busan,WH_0247,345.76
Busan,WH_0248,306.88
Busan,WH_0249,326.58
Busan,WH_0250,331.42
Busan,WH_0251,312.37
Busan,WH_0252,335.64
Busan,WH_0253,347.02
Busan,WH_0254,306.18
Busan,WH_0255,310.9
Busan,WH_0256,310.26
Busan,WH_0257,355.92
Busan,WH_0258,331.43
Busan,WH_0259,352.38
Busan,WH_0260,353.36
Busan,WH_0261,334.51
Busan,WH_0262,322.23
Busan,WH_0263,340.49
Busan,WH_0264,285.09
Busan,WH_0265,335.86
Busan,WH_0266,349.21
Busan,WH_0267,325.73
Busan,WH_0268,305.6
Busan,WH_0269,315.16
Busan,WH_0270,344.22
Busan,WH_0271,308.93
Busan,WH_0272,327.32
Busan,WH_0273,328.87
Busan,WH_0274,323.74
Busan,WH_0275,340.45
Busan,WH_0276,297.47
Busan,WH_0277,368.5
Busan,WH_0278,319.23
Busan,WH_0279,347.28
Busan,WH_0280,356.76
Busan,WH_0281,337.45
Busan,WH_0282,315.59
Busan,WH_0283,324.15
Busan,WH_0284,340.47
Busan,WH_0285,361.0
Busan,WH_0286,321.55
Busan,WH_0287,330.93
Busan,WH_0288,338.27
Busan,WH_0289,356.04
Busan,WH_0290,341.88
Busan,WH_0291,327.43
Busan,WH_0292,340.26
Busan,WH_0293,357.98
Busan,WH_0294,310.17
Busan,WH_0295,343.63
Busan,WH_0296,352.14
Busan,WH_0297,279.0
Busan,WH_0298,300.85
Busan,WH_0299,343.69
Busan,WH_0300,335.09
Busan,WH_0301,332.27
Busan,WH_0302,342.1
Busan,WH_0303,328.2
Busan,WH_0304,340.99
Busan,WH_0305,309.77
Busan,WH_0306,322.84
Busan,WH_0307,343.49
Busan,WH_0308,348.45
Busan,WH_0309,325.44
Busan,WH_0310,346.96
Busan,WH_0311,327.34
Busan,WH_0312,337.06
Busan,WH_0313,297.56
Busan,WH_0314,328.2
Busan,WH_0315,316.06
Busan,WH_0316,341.2
Busan,WH_0317,312.87
Busan,WH_0318,337.26
Busan,WH_0319,332.24
Busan,WH_0320,363.63
Busan,WH_0321,308.09
Busan,WH_0322,338.5
Busan,WH_0323,324.37
Busan,WH_0324,332.97
Busan,WH_0325,333.36
Busan,WH_0326,318.71
Busan,WH_0327,327.63
Busan,WH_0328,324.98
Busan,WH_0329,348.68
Busan,WH_0330,324.93
Busan,WH_0331,345.19
Busan,WH_0332,313.94
Busan,WH_0333,310.47
Busan,WH_0334,347.57
Busan,WH_0335,344.84
Busan,WH_0336,333.79
Busan,WH_0337,333.42
Busan,WH_0338,349.3
Busan,WH_0339,303.16
Busan,WH_0340,300.46
Busan,WH_0341,323.21
Busan,WH_0342,321.34
Busan,WH_0343,331.08
Busan,WH_0344,344.59
Busan,WH_0345,344.97
Busan,WH_0346,321.11
Busan,WH_0347,323.14
Busan,WH_0348,201.94
Busan,WH_0349,207.39
Busan,WH_0350,201.39
Busan,WH_0351,195.47
Busan,WH_0352,218.11
Busan,WH_0353,195.38
Busan,WH_0354,205.54
Busan,WH_0355,206.63
Busan,WH_0356,207.54
Busan,WH_0357,201.99
Busan,WH_0358,189.72
Busan,WH_0359,194.99
Busan,WH_0360,218.14
Busan,WH_0361,191.73
Busan,WH_0362,214.87
Busan,WH_0363,201.63
Busan,WH_0364,200.46
Busan,WH_0365,204.76
Busan,WH_0366,209.04
Busan,WH_0367,178.82
Busan,WH_0368,184.59
Busan,WH_0369,188.47
Busan,WH_0370,194.55
Busan,WH_0371,212.59
Busan,WH_0372,184.28
Busan,WH_0373,212.33
Busan,WH_0374,175.24
Busan,WH_0375,194.77
Busan,WH_0376,177.8
Busan,WH_0377,184.02
Busan,WH_0378,198.83
Busan,WH_0379,169.93
Busan,WH_0380,184.4
Busan,WH_0381,184.85
Busan,WH_0382,210.29
Busan,WH_0383,213.08
Busan,WH_0384,216.07
Busan,WH_0385,211.86
Busan,WH_0386,28.29
Busan,WH_0387,55.51
Busan,WH_0388,35.72
Busan,WH_0389,56.12
Busan,WH_0390,60.36
Busan,WH_0391,43.08
Busan,WH_0392,32.32
Busan,WH_0393,64.3
Busan,WH_0394,72.59
Busan,WH_0395,49.4
Busan,WH_0396,60.45
Busan,WH_0397,37.88
Busan,WH_0398,29.04
Busan,WH_0399,72.82
Busan,WH_0400,60.46
Busan,WH_0401,43.41
Busan,WH_0402,54.41
Busan,WH_0403,29.47
Busan,WH_0404,56.12
Busan,WH_0405,55.36
Busan,WH_0406,10.55
Busan,WH_0407,64.04
Busan,WH_0408,60.34
Busan,WH_0409,83.32
Busan,WH_0410,59.15
Busan,WH_0411,33.84
Busan,WH_0412,44.71
Busan,WH_0413,58.58
Busan,WH_0414,38.47
Busan,WH_0415,43.28
Busan,WH_0416,50.97
Busan,WH_0417,66.99
Busan,WH_0418,28.94
Busan,WH_0419,82.93
Busan,WH_0420,31.53
Busan,WH_0421,49.26
Busan,WH_0422,31.37
Busan,WH_0423,27.0
Busan,WH_0424,82.17
Busan,WH_0425,40.78
Busan,WH_0426,55.04
Busan,WH_0427,42.52
Busan,WH_0428,209.97
Busan,WH_0429,234.63
Busan,WH_0430,213.7
Busan,WH_0431,182.17
Busan,WH_0432,212.69
Busan,WH_0433,205.98
Busan,WH_0434,200.08
Busan,WH_0435,222.01
Busan,WH_0436,236.8
Busan,WH_0437,207.5
Busan,WH_0438,212.86
Busan,WH_0439,222.08
Busan,WH_0440,228.34
Busan,WH_0441,285.66
Busan,WH_0442,266.24
Busan,WH_0443,290.15
Busan,WH_0444,309.11
Busan,WH_0445,284.63
Busan,WH_0446,306.82
Busan,WH_0447,291.74
Busan,WH_0448,285.01
Busan,WH_0449,294.28
Busan,WH_0450,301.01
Busan,WH_0451,302.64
Busan,WH_0452,303.54
Busan,WH_0453,280.51
Busan,WH_0454,277.31
Busan,WH_0455,282.85
Busan,WH_0456,278.88
Busan,WH_0457,276.5
Busan,WH_0458,298.6
Busan,WH_0459,275.92
Busan,WH_0460,319.86
Busan,WH_0461,290.09
Busan,WH_0462,279.55
Busan,WH_0463,262.91
Busan,WH_0464,298.32
Busan,WH_0465,304.04
Busan,WH_0466,272.15
Busan,WH_0467,283.96
Busan,WH_0468,261.19
Busan,WH_0469,293.88
Busan,WH_0470,276.03
Busan,WH_0471,269.74
Busan,WH_0472,305.22
Busan,WH_0473,290.74
Busan,WH_0474,272.4
Busan,WH_0475,275.04
Busan,WH_0476,271.74
Busan,WH_0477,286.92
Busan,WH_0478,298.63
Busan,WH_0479,283.54
Busan,WH_0480,263.58
Busan,WH_0481,248.03
Busan,WH_0482,281.46
Busan,WH_0483,298.07
Busan,WH_0484,276.39
Busan,WH_0485,264.29
Busan,WH_0486,294.42
Busan,WH_0487,284.06
Busan,WH_0488,275.37
Busan,WH_0489,277.54
Busan,WH_0490,310.66
Busan,WH_0491,278.67
Busan,WH_0492,282.29
Busan,WH_0493,281.41
Busan,WH_0494,299.06
Busan,WH_0495,284.03
Busan,WH_0496,289.37
Busan,WH_0497,304.61
Busan,WH_0498,263.87
Busan,WH_0499,317.92
Busan,WH_0500,292.68
Busan,WH_0501,274.66
Busan,WH_0502,270.47
Busan,WH_0503,283.52
Busan,WH_0504,294.21
Busan,WH_0505,296.18
Busan,WH_0506,271.96
Busan,WH_0507,257.43
Busan,WH_0508,293.36
Busan,WH_0509,285.81
Busan,WH_0510,273.66
Busan,WH_0511,285.63
Busan,WH_0512,260.44
Busan,WH_0513,256.16
Busan,WH_0514,277.18
Busan,WH_0515,287.2
Busan,WH_0516,276.05
Busan,WH_0517,282.53
Busan,WH_0518,274.44
Busan,WH_0519,259.97
Busan,WH_0520,280.68
Busan,WH_0521,297.06
Busan,WH_0522,297.88
Busan,WH_0523,285.84
Busan,WH_0524,262.24
Busan,WH_0525,294.21
Busan,WH_0526,266.05
Busan,WH_0527,264.34
Busan,WH_0528,292.3
Busan,WH_0529,306.86
Busan,WH_0530,289.59
Busan,WH_0531,308.24
Busan,WH_0532,254.07
Busan,WH_0533,272.21
Busan,WH_0534,283.91
Busan,WH_0535,295.98
Busan,WH_0536,293.78
Busan,WH_0537,289.53
Busan,WH_0538,276.58
Busan,WH_0539,270.43
Busan,WH_0540,281.2
Busan,WH_0541,279.39
Busan,WH_0542,281.35
Busan,WH_0543,295.0
Busan,WH_0544,272.6
Busan,WH_0545,280.47
Busan,WH_0546,277.48
Busan,WH_0547,298.11
Busan,WH_0548,304.51
Busan,WH_0549,277.97
Busan,WH_0550,292.4
Busan,WH_0551,267.9
Busan,WH_0552,290.7
Busan,WH_0553,289.78
Busan,WH_0554,295.19
Busan,WH_0555,333.11
Busan,WH_0556,285.05
Busan,WH_0557,291.98
Busan,WH_0558,275.91
Busan,WH_0559,290.6
Busan,WH_0560,296.62
Busan,WH_0561,276.55
Busan,WH_0562,319.16
Busan,WH_0563,298.97
Busan,WH_0564,285.77
Busan,WH_0565,292.45
Busan,WH_0566,284.05
Busan,WH_0567,314.26
Busan,WH_0568,287.88
Busan,WH_0569,295.68
Busan,WH_0570,297.33
Busan,WH_0571,270.23
Busan,WH_0572,287.88
Busan,WH_0573,272.81
Busan,WH_0574,288.74
Busan,WH_0575,283.4
Busan,WH_0576,273.4
Busan,WH_0577,276.21
Busan,WH_0578,293.99
Busan,WH_0579,290.49
Busan,WH_0580,309.28
Busan,WH_0581,280.54
Busan,WH_0582,283.91
Busan,WH_0583,302.43
Busan,WH_0584,280.59
Busan,WH_0585,241.1
Busan,WH_0586,301.76
Busan,WH_0587,303.06
Busan,WH_0588,285.76
Busan,WH_0589,293.98
Busan,WH_0590,264.89
Busan,WH_0591,276.36
Busan,WH_0592,301.31
Busan,WH_0593,279.17
Busan,WH_0594,277.12
Busan,WH_0595,271.65
Busan,WH_0596,296.05
Busan,WH_0597,298.21
Busan,WH_0598,281.71
Busan,WH_0599,251.47
Busan,WH_0600,292.61
Busan,WH_0601,284.94
Busan,WH_0602,276.35
Busan,WH_0603,285.95
Busan,WH_0604,303.37
Busan,WH_0605,285.63
Busan,WH_0606,285.86
Busan,WH_0607,287.76
Busan,WH_0608,261.62
Busan,WH_0609,301.77
Busan,WH_0610,294.51
Busan,WH_0611,265.0
Busan,WH_0612,314.65
Busan,WH_0613,276.24
Busan,WH_0614,282.31
Busan,WH_0615,299.04
Busan,WH_0616,289.97
Busan,WH_0617,316.06
Busan,WH_0618,280.99
Busan,WH_0619,260.52
Busan,WH_0620,292.66
Busan,WH_0621,291.05
Busan,WH_0622,275.99
Busan,WH_0623,278.03
Busan,WH_0624,284.54
Busan,WH_0625,272.35
Busan,WH_0626,273.74
Busan,WH_0627,272.05
Busan,WH_0628,296.85
Busan,WH_0629,281.68
Busan,WH_0630,300.44
Busan,WH_0631,285.19
Busan,WH_0632,276.17
Busan,WH_0633,278.5
Busan,WH_0634,285.98
Busan,WH_0635,259.68
Busan,WH_0636,275.45
Busan,WH_0637,284.6
Busan,WH_0638,319.68
Busan,WH_0639,266.5
Busan,WH_0640,304.28
Busan,WH_0641,323.19
Busan,WH_0642,272.55
Busan,WH_0643,272.44
Busan,WH_0644,277.52
Busan,WH_0645,267.99
Busan,WH_0646,292.15
Busan,WH_0647,262.87
Busan,WH_0648,281.64
Busan,WH_0649,279.09
Busan,WH_0650,283.79
Busan,WH_0651,296.93
Busan,WH_0652,296.02
Busan,WH_0653,251.3
Busan,WH_0654,309.78
Busan,WH_0655,262.59
Busan,WH_0656,274.1
Busan,WH_0657,282.73
Busan,WH_0658,251.71
Busan,WH_0659,281.64
Busan,WH_0660,299.18
Busan,WH_0661,264.29
Busan,WH_0662,284.68
Busan,WH_0663,246.68
Busan,WH_0664,283.22
Busan,WH_0665,287.61
Busan,WH_0666,292.9
Busan,WH_0667,293.19
Busan,WH_0668,292.85
Busan,WH_0669,302.43
Busan,WH_0670,303.43
Busan,WH_0671,308.68
Busan,WH_0672,286.77
Busan,WH_0673,267.18
Busan,WH_0674,298.68
Busan,WH_0675,269.48
Busan,WH_0676,301.56
Busan,WH_0677,306.74
Busan,WH_0678,276.6
Busan,WH_0679,294.94
Busan,WH_0680,299.92
Busan,WH_0681,285.1
Busan,WH_0682,285.83
Busan,WH_0683,284.64
Busan,WH_0684,293.44
Busan,WH_0685,280.56
Busan,WH_0686,274.8
Busan,WH_0687,281.17
Busan,WH_0688,274.01
Busan,WH_0689,291.9
Busan,WH_0690,270.79
Busan,WH_0691,295.53
Busan,WH_0692,303.99
Busan,WH_0693,297.56
Busan,WH_0694,289.67
Busan,WH_0695,301.05
Busan,WH_0696,299.35
Busan,WH_0697,280.01
Busan,WH_0698,305.19
Busan,WH_0699,289.46
Busan,WH_0700,303.97
Busan,WH_0701,284.04
Busan,WH_0702,308.37
Busan,WH_0703,277.24
Busan,WH_0704,268.85
Busan,WH_0705,290.53
Busan,WH_0706,265.71
Busan,WH_0707,265.64
Busan,WH_0708,276.15
Busan,WH_0709,278.88
Busan,WH_0710,290.8
Busan,WH_0711,278.92
Busan,WH_0712,312.91
Busan,WH_0713,304.31
Busan,WH_0714,314.58
Busan,WH_0715,298.11
Busan,WH_0716,287.39
Busan,WH_0717,293.26
Busan,WH_0718,294.95
Busan,WH_0719,293.65
Busan,WH_0720,276.41
Busan,WH_0721,285.75
Busan,WH_0722,280.49
Busan,WH_0723,290.06
Busan,WH_0724,313.45
Busan,WH_0725,275.92
Busan,WH_0726,286.92
Busan,WH_0727,277.7
Busan,WH_0728,270.09
Busan,WH_0729,274.97
Busan,WH_0730,291.31
Busan,WH_0731,300.24
Busan,WH_0732,302.8
Busan,WH_0733,296.22
Busan,WH_0734,324.48
Busan,WH_0735,284.8
Busan,WH_0736,314.79
Busan,WH_0737,265.28
Busan,WH_0738,277.75
Busan,WH_0739,279.66
Busan,WH_0740,257.74
Busan,WH_0741,268.6
Busan,WH_0742,298.56
Busan,WH_0743,294.33
Busan,WH_0744,301.16
Busan,WH_0745,275.3
Busan,WH_0746,311.88
Busan,WH_0747,288.5
Busan,WH_0748,282.1
Busan,WH_0749,301.85
Busan,WH_0750,271.51
Busan,WH_0751,292.32
Busan,WH_0752,289.3
Busan,WH_0753,322.16
Busan,WH_0754,267.87
Busan,WH_0755,280.92
Busan,WH_0756,306.5
Busan,WH_0757,283.71
Busan,WH_0758,265.76
Busan,WH_0759,269.32
Busan,WH_0760,325.59
Busan,WH_0761,310.11
Busan,WH_0762,311.14
Busan,WH_0763,283.92
Busan,WH_0764,292.44
Busan,WH_0765,274.94
Busan,WH_0766,289.13
Busan,WH_0767,295.49
Busan,WH_0768,268.67
Busan,WH_0769,300.52
Busan,WH_0770,308.53
Busan,WH_0771,276.46
Busan,WH_0772,285.32
Busan,WH_0773,273.87
Busan,WH_0774,278.63
Busan,WH_0775,312.59
Busan,WH_0776,280.54
Busan,WH_0777,253.82
Busan,WH_0778,272.37
Busan,WH_0779,292.34
Busan,WH_0780,299.66
Busan,WH_0781,282.07
Busan,WH_0782,299.46
Busan,WH_0783,282.75
Busan,WH_0784,295.9
Busan,WH_0785,296.61
Busan,WH_0786,297.95
Busan,WH_0787,286.29
Busan,WH_0788,279.17
Busan,WH_0789,281.78
Busan,WH_0790,279.87
Busan,WH_0791,277.35
Busan,WH_0792,276.23
Busan,WH_0793,279.43
Busan,WH_0794,304.14
Busan,WH_0795,269.83
Busan,WH_0796,296.84
Busan,WH_0797,274.57
Busan,WH_0798,268.17
Busan,WH_0799,305.41
Busan,WH_0800,298.59
Busan,WH_0801,292.28
Busan,WH_0802,254.51
Busan,WH_0803,288.06
Busan,WH_0804,282.81
Busan,WH_0805,287.78
Busan,WH_0806,257.75
Busan,WH_0807,272.06
Busan,WH_0808,280.81
Busan,WH_0809,309.29
Busan,WH_0810,302.03
Busan,WH_0811,308.67
Busan,WH_0812,299.29
Busan,WH_0813,270.0
Busan,WH_0814,304.4
Busan,WH_0815,304.84
Busan,WH_0816,301.65
Busan,WH_0817,316.71
Busan,WH_0818,295.59
Busan,WH_0819,291.75
Busan,WH_0820,270.01
Busan,WH_0821,298.93
Busan,WH_0822,279.58
Busan,WH_0823,302.69
Busan,WH_0824,291.39
Busan,WH_0825,251.47
Busan,WH_0826,265.78
Busan,WH_0827,301.82
Busan,WH_0828,283.25
Busan,WH_0829,292.84
Busan,WH_0830,290.08
Busan,WH_0831,302.05
Busan,WH_0832,297.1
Busan,WH_0833,278.83
Busan,WH_0834,275.42
Busan,WH_0835,279.8
Busan,WH_0836,281.86
Busan,WH_0837,301.87
Busan,WH_0838,273.44
Busan,WH_0839,283.15
Busan,WH_0840,283.77
Busan,WH_0841,285.42
Busan,WH_0842,268.88
Busan,WH_0843,277.75
Busan,WH_0844,322.7
Busan,WH_0845,296.04
Busan,WH_0846,266.88
Busan,WH_0847,287.55
Busan,WH_0848,268.88
Busan,WH_0849,289.61
Busan,WH_0850,259.59
Busan,WH_0851,293.96
Busan,WH_0852,302.78
Busan,WH_0853,301.14
Busan,WH_0854,261.48
Busan,WH_0855,283.44
Busan,WH_0856,296.53
Busan,WH_0857,299.59
Busan,WH_0858,266.7
Busan,WH_0859,282.31
Busan,WH_0860,280.96
Busan,WH_0861,267.57
Busan,WH_0862,282.52
Busan,WH_0863,300.98
Busan,WH_0864,299.33
Busan,WH_0865,292.88
Busan,WH_0866,268.58
Busan,WH_0867,272.69
Busan,WH_0868,276.73
Busan,WH_0869,276.22
Busan,WH_0870,298.26
Busan,WH_0871,273.14
Busan,WH_0872,281.36
Busan,WH_0873,276.85
Busan,WH_0874,249.18
Busan,WH_0875,271.15
Busan,WH_0876,311.98
Busan,WH_0877,287.12
Busan,WH_0878,300.07
Busan,WH_0879,286.84
Busan,WH_0880,306.68
Busan,WH_0881,269.38
Busan,WH_0882,313.13
Busan,WH_0883,278.29
Busan,WH_0884,297.03
Busan,WH_0885,284.63
Busan,WH_0886,278.4
Busan,WH_0887,300.52
Busan,WH_0888,293.57
Busan,WH_0889,277.81
Busan,WH_0890,272.82
Busan,WH_0891,295.48
Busan,WH_0892,267.9
Busan,WH_0893,293.69
Busan,WH_0894,293.36
Busan,WH_0895,260.0
Busan,WH_0896,274.27
Busan,WH_0897,277.36
Busan,WH_0898,261.64
Busan,WH_0899,293.82
Busan,WH_0900,302.1
Busan,WH_0901,252.32
Busan,WH_0902,278.59
Busan,WH_0903,291.57
Busan,WH_0904,299.15
Busan,WH_0905,268.48
Busan,WH_0906,293.99
Busan,WH_0907,303.56
Busan,WH_0908,288.42
Busan,WH_0909,297.1
Busan,WH_0910,296.19
Busan,WH_0911,267.18
Busan,WH_0912,262.46
Busan,WH_0913,303.73
Busan,WH_0914,312.62
Busan,WH_0915,269.75
Busan,WH_0916,248.59
Busan,WH_0917,305.39
Busan,WH_0918,314.17
Busan,WH_0919,284.82
Busan,WH_0920,303.19
Busan,WH_0921,298.07
Busan,WH_0922,293.66
Busan,WH_0923,272.56
Busan,WH_0924,291.12
Busan,WH_0925,309.29
Busan,WH_0926,277.28
Busan,WH_0927,270.48
Busan,WH_0928,262.53
Busan,WH_0929,275.56
Busan,WH_0930,277.12
Busan,WH_0931,287.15
Busan,WH_0932,279.01
Busan,WH_0933,283.82
Busan,WH_0934,308.69
Busan,WH_0935,262.79
Busan,WH_0936,291.5
Busan,WH_0937,301.62
Busan,WH_0938,270.23
Busan,WH_0939,276.44
Busan,WH_0940,299.66
Busan,WH_0941,280.84
Busan,WH_0942,297.48
Busan,WH_0943,279.3
Busan,WH_0944,287.69
Busan,WH_0945,272.0
Busan,WH_0946,290.43
Busan,WH_0947,270.3
Busan,WH_0948,264.92
Busan,WH_0949,287.29
Busan,WH_0950,312.18
Busan,WH_0951,294.4
Busan,WH_0952,308.63
Busan,WH_0953,288.73
Busan,WH_0954,296.51
Busan,WH_0955,282.67
Busan,WH_0956,267.05
Busan,WH_0957,311.7
Busan,WH_0958,273.36
Busan,WH_0959,279.75
Busan,WH_0960,266.42
Busan,WH_0961,246.98
Busan,WH_0962,270.94
Busan,WH_0963,302.47
Busan,WH_0964,294.56
Busan,WH_0965,281.39
Busan,WH_0966,287.86
Busan,WH_0967,267.24
Busan,WH_0968,302.81
Busan,WH_0969,267.62
Busan,WH_0970,286.4
Busan,WH_0971,271.45
Busan,WH_0972,312.08
Busan,WH_0973,287.28
Busan,WH_0974,282.13
Busan,WH_0975,277.3
Busan,WH_0976,260.9
Busan,WH_0977,284.89
Busan,WH_0978,309.71
Busan,WH_0979,268.31
Busan,WH_0980,284.23
Busan,WH_0981,300.73
Busan,WH_0982,321.65
Busan,WH_0983,269.55
Busan,WH_0984,287.76
Busan,WH_0985,295.69
Busan,WH_0986,298.54
Busan,WH_0987,293.49
Busan,WH_0988,321.02
Busan,WH_0989,307.84
Busan,WH_0990,298.54
Busan,WH_0991,253.81
Busan,WH_0992,293.44
Busan,WH_0993,301.13
Busan,WH_0994,285.22
Busan,WH_0995,289.32
Busan,WH_0996,266.93
Busan,WH_0997,281.19
Busan,WH_0998,298.05
