lane_id,distance_km,delayed_shipments,penalty_cost_usd
Busan-WH_0236,316.37,2,578.1
Busan-WH_0237,336.93,17,1007.42
Busan-WH_0238,329.84,11,269.03
Busan-WH_0239,342.8,11,397.86
Busan-WH_0240,328.96,4,1091.85
Busan-WH_0241,333.32,13,865.55
Busan-WH_0242,311.72,14,1085.29
Busan-WH_0243,318.25,9,531.97
Busan-WH_0244,341.76,1,581.49
Busan-WH_0245,336.05,10,1484.05
Busan-WH_0246,329.87,15,290.89
Busan-WH_0247,345.76,17,880.75
Busan-WH_0248,306.88,9,262.8
Busan-WH_0249,326.58,14,494.55
Busan-WH_0250,331.42,2,691.05
Busan-WH_0251,312.37,3,1156.5
Busan-WH_0252,335.64,9,1371.94
Busan-WH_0253,347.02,12,350.91
Busan-WH_0254,306.18,15,896.71
Busan-WH_0255,310.9,11,1285.17
Busan-WH_0256,310.26,9,1055.97
Busan-WH_0257,355.92,13,243.16
Busan-WH_0258,331.43,6,1129.84
Busan-WH_0259,352.38,6,846.76
Busan-WH_0260,353.36,18,141.89
Busan-WH_0261,334.51,10,984.4
Busan-WH_0262,322.23,10,663.77
Busan-WH_0263,340.49,19,1470.46
Busan-WH_0264,285.09,8,992.41
Busan-WH_0265,335.86,2,1440.84
Busan-WH_0266,349.21,19,258.95
Busan-WH_0267,325.73,9,942.93
Busan-WH_0268,305.6,6,1228.76
Busan-WH_0269,315.16,6,995.9
Busan-WH_0270,344.22,8,944.83
Busan-WH_0271,308.93,9,767.58
Busan-WH_0272,327.32,7,378.89
Busan-WH_0273,328.87,19,235.41
Busan-WH_0274,323.74,3,910.81
Busan-WH_0275,340.45,11,160.59
Busan-WH_0276,297.47,15,549.35
Busan-WH_0277,368.5,7,879.11
Busan-WH_0278,319.23,7,1404.41
Busan-WH_0279,347.28,6,519.67
Busan-WH_0280,356.76,14,542.62
Busan-WH_0281,337.45,12,539.65
Busan-WH_0282,315.59,19,866.38
Busan-WH_0283,324.15,3,1460.48
Busan-WH_0284,340.47,18,999.32
Busan-WH_0285,361.0,2,946.57
Busan-WH_0286,321.55,4,1135.79
Busan-WH_0287,330.93,19,1243.23
Busan-WH_0288,338.27,11,791.98
Busan-WH_0289,356.04,17,668.56
Busan-WH_0290,341.88,13,1204.32
Busan-WH_0291,327.43,11,863.01
Busan-WH_0292,340.26,19,142.78
Busan-WH_0293,357.98,12,680.4
Busan-WH_0294,310.17,19,1109.96
Busan-WH_0295,343.63,18,1365.24
Busan-WH_0296,352.14,13,1128.74
Busan-WH_0297,279.0,16,716.28
Busan-WH_0298,300.85,6,368.48
Busan-WH_0299,343.69,14,976.2
Busan-WH_0300,335.09,9,1186.9
Busan-WH_0301,332.27,5,912.78
Busan-WH_0302,342.1,13,1250.81
Busan-WH_0303,328.2,3,1099.47
Busan-WH_0304,340.99,11,1236.93
Busan-WH_0305,309.77,10,478.62
Busan-WH_0306,322.84,6,1338.54
Busan-WH_0307,343.49,11,1161.19
Busan-WH_0308,348.45,16,464.88
Busan-WH_0309,325.44,4,828.25
Busan-WH_0310,346.96,15,468.39
Busan-WH_0311,327.34,2,1145.31
Busan-WH_0312,337.06,3,1133.27
Busan-WH_0313,297.56,6,1003.58
Busan-WH_0314,328.2,1,695.98
Busan-WH_0315,316.06,10,688.94
Busan-WH_0316,341.2,16,964.88
Busan-WH_0317,312.87,8,1361.97
Busan-WH_0318,337.26,9,1242.37
Busan-WH_0319,332.24,17,983.59
Busan-WH_0320,363.63,6,193.66
Busan-WH_0321,308.09,11,723.39
Busan-WH_0322,338.5,10,120.95
Busan-WH_0323,324.37,14,413.23
Busan-WH_0324,332.97,5,1402.56
Busan-WH_0325,333.36,3,1119.4
Busan-WH_0326,318.71,10,518.34
Busan-WH_0327,327.63,8,177.53
Busan-WH_0328,324.98,3,217.29
Busan-WH_0329,348.68,9,958.83
Busan-WH_0330,324.93,16,1456.47
Busan-WH_0331,345.19,7,288.53
Busan-WH_0332,313.94,15,159.48
Busan-WH_0333,310.47,16,1086.24
Busan-WH_0334,347.57,14,1332.39
Busan-WH_0335,344.84,12,1013.65
Busan-WH_0336,333.79,18,566.74
Busan-WH_0337,333.42,1,1420.96
Busan-WH_0338,349.3,7,957.66
Busan-WH_0339,303.16,8,1435.52
Busan-WH_0340,300.46,15,1004.2
Busan-WH_0341,323.21,12,960.53
Busan-WH_0342,321.34,9,1014.49
Busan-WH_0343,331.08,16,361.24
Busan-WH_0344,344.59,16,1145.68
Busan-WH_0345,344.97,13,966.07
Busan-WH_0346,321.11,10,922.92
Busan-WH_0347,323.14,5,694.23
Busan-WH_0348,201.94,19,872.4
Busan-WH_0349,207.39,1,267.24
Busan-WH_0350,201.39,6,647.44
Busan-WH_0351,195.47,18,962.41
Busan-WH_0352,218.11,12,252.96
Busan-WH_0353,195.38,1,1257.37
Busan-WH_0354,205.54,5,1298.03
Busan-WH_0355,206.63,7,1090.23
Busan-WH_0356,207.54,4,278.81
Busan-WH_0357,201.99,13,558.32
Busan-WH_0358,189.72,19,819.43
Busan-WH_0359,194.99,15,715.97
Busan-WH_0360,218.14,16,647.36
Busan-WH_0361,191.73,12,1095.97
Busan-WH_0362,214.87,18,479.1
Busan-WH_0363,201.63,1,193.9
Busan-WH_0364,200.46,19,440.53
Busan-WH_0365,204.76,15,431.8
Busan-WH_0366,209.04,7,629.52
Busan-WH_0367,178.82,7,505.99
Busan-WH_0368,184.59,10,389.26
Busan-WH_0369,188.47,18,194.84
Busan-WH_0370,194.55,18,1115.22
Busan-WH_0371,212.59,15,605.21
Busan-WH_0372,184.28,10,784.31
Busan-WH_0373,212.33,14,743.38
Busan-WH_0374,175.24,15,1176.49
Busan-WH_0375,194.77,10,312.33
Busan-WH_0376,177.8,13,1486.3
Busan-WH_0377,184.02,2,244.69
Busan-WH_0378,198.83,17,813.87
Busan-WH_0379,169.93,6,1174.2
Busan-WH_0380,184.4,13,534.59
Busan-WH_0381,184.85,6,950.23
Busan-WH_0382,210.29,11,885.24
Busan-WH_0383,213.08,1,425.46
Busan-WH_0384,216.07,15,523.0
Busan-WH_0385,211.86,5,954.4
Busan-WH_0428,209.97,4,1460.68
Busan-WH_0429,234.63,8,1257.57
Busan-WH_0430,213.7,19,439.63
Busan-WH_0431,182.17,3,987.01
Busan-WH_0432,212.69,9,889.21
Busan-WH_0433,205.98,1,499.81
Busan-WH_0434,200.08,12,161.29
Busan-WH_0435,222.01,1,763.89
Busan-WH_0436,236.8,3,1401.72
Busan-WH_0437,207.5,2,1305.88
Busan-WH_0438,212.86,9,724.84
Busan-WH_0439,222.08,8,1497.47
Busan-WH_0440,228.34,8,679.43
Busan-WH_0441,285.66,1,248.92
Busan-WH_0442,266.24,3,1279.0
Busan-WH_0443,290.15,10,291.6
Busan-WH_0444,309.11,7,127.81
Busan-WH_0445,284.63,9,676.91
Busan-WH_0446,306.82,12,259.01
Busan-WH_0447,291.74,5,305.23
Busan-WH_0448,285.01,10,1354.26
Busan-WH_0449,294.28,7,498.55
Busan-WH_0450,301.01,19,1407.93
Busan-WH_0451,302.64,7,528.42
Busan-WH_0452,303.54,12,201.58
Busan-WH_0453,280.51,4,398.17
Busan-WH_0454,277.31,3,1103.7
Busan-WH_0455,282.85,10,1161.39
Busan-WH_0456,278.88,12,120.73
Busan-WH_0457,276.5,14,598.36
Busan-WH_0458,298.6,13,453.81
Busan-WH_0459,275.92,15,612.24
Busan-WH_0460,319.86,9,672.89
Busan-WH_0461,290.09,5,613.7
Busan-WH_0462,279.55,15,709.29
Busan-WH_0463,262.91,13,273.8
Busan-WH_0464,298.32,12,1433.97
Busan-WH_0465,304.04,14,779.64
Busan-WH_0466,272.15,15,183.38
Busan-WH_0467,283.96,3,352.93
Busan-WH_0468,261.19,11,222.59
Busan-WH_0469,293.88,14,975.0
Busan-WH_0470,276.03,13,1219.23
Busan-WH_0471,269.74,7,902.32
Busan-WH_0472,305.22,7,1403.55
Busan-WH_0473,290.74,9,594.33
Busan-WH_0474,272.4,16,1384.33
Busan-WH_0475,275.04,2,225.47
Busan-WH_0476,271.74,8,1320.39
Busan-WH_0477,286.92,10,421.38
Busan-WH_0478,298.63,2,179.21
Busan-WH_0479,283.54,5,499.01
Busan-WH_0480,263.58,18,557.58
Busan-WH_0481,248.03,6,1476.85
Busan-WH_0482,281.46,18,1281.54
Busan-WH_0483,298.07,2,128.33
Busan-WH_0484,276.39,4,332.89
Busan-WH_0485,264.29,7,372.16
Busan-WH_0486,294.42,8,1477.27
Busan-WH_0487,284.06,16,343.06
Busan-WH_0488,275.37,18,1261.62
Busan-WH_0489,277.54,10,845.21
Busan-WH_0490,310.66,17,271.73
Busan-WH_0491,278.67,10,1320.33
Busan-WH_0492,282.29,10,114.58
Busan-WH_0493,281.41,11,808.02
Busan-WH_0494,299.06,10,1065.09
Busan-WH_0495,284.03,6,543.95
Busan-WH_0496,289.37,11,902.42
Busan-WH_0497,304.61,19,930.37
Busan-WH_0498,263.87,15,1353.09
Busan-WH_0499,317.92,7,999.5
Busan-WH_0500,292.68,17,327.55
Busan-WH_0501,274.66,4,944.05
Busan-WH_0502,270.47,5,636.54
Busan-WH_0503,283.52,15,406.54
Busan-WH_0504,294.21,3,172.13
Busan-WH_0505,296.18,8,176.74
Busan-WH_0506,271.96,17,1024.88
Busan-WH_0507,257.43,2,496.91
Busan-WH_0508,293.36,5,433.28
Busan-WH_0509,285.81,19,722.07
Busan-WH_0510,273.66,16,720.19
Busan-WH_0511,285.63,6,1005.48
Busan-WH_0512,260.44,10,395.47
Busan-WH_0513,256.16,1,472.95
Busan-WH_0514,277.18,18,1380.82
Busan-WH_0515,287.2,9,167.62
Busan-WH_0516,276.05,17,1044.35
Busan-WH_0517,282.53,9,218.03
Busan-WH_0518,274.44,18,1398.05
Busan-WH_0519,259.97,18,156.43
Busan-WH_0520,280.68,7,874.41
Busan-WH_0521,297.06,13,961.87
Busan-WH_0522,297.88,13,380.44
Busan-WH_0523,285.84,17,1216.15
Busan-WH_0524,262.24,2,223.0
Busan-WH_0525,294.21,14,591.62
Busan-WH_0526,266.05,9,902.56
Busan-WH_0527,264.34,17,452.29
Busan-WH_0528,292.3,18,1049.61
Busan-WH_0529,306.86,18,236.2
Busan-WH_0530,289.59,14,427.42
Busan-WH_0531,308.24,19,572.69
Busan-WH_0532,254.07,3,1402.54
Busan-WH_0533,272.21,12,1330.19
Busan-WH_0534,283.91,8,930.14
Busan-WH_0535,295.98,7,677.78
Busan-WH_0536,293.78,2,314.59
Busan-WH_0537,289.53,15,400.44
Busan-WH_0538,276.58,3,1178.67
Busan-WH_0539,270.43,13,950.81
Busan-WH_0540,281.2,17,937.87
Busan-WH_0541,279.39,9,1012.25
Busan-WH_0542,281.35,10,1487.94
Busan-WH_0543,295.0,7,413.24
Busan-WH_0544,272.6,10,1371.82
Busan-WH_0545,280.47,3,1233.01
Busan-WH_0546,277.48,14,949.93
Busan-WH_0547,298.11,9,233.45
Busan-WH_0548,304.51,8,946.95
Busan-WH_0549,277.97,12,737.14
Busan-WH_0550,292.4,4,1263.59
Busan-WH_0551,267.9,11,1117.92
Busan-WH_0552,290.7,12,711.25
Busan-WH_0553,289.78,13,766.38
Busan-WH_0554,295.19,10,1075.86
Busan-WH_0555,333.11,18,338.92
Busan-WH_0556,285.05,14,206.02
Busan-WH_0557,291.98,16,1329.35
Busan-WH_0558,275.91,4,265.41
Busan-WH_0559,290.6,11,1162.6
Busan-WH_0560,296.62,13,151.77
Busan-WH_0561,276.55,18,1257.23
Busan-WH_0562,319.16,2,121.84
Busan-WH_0563,298.97,6,507.71
Busan-WH_0564,285.77,14,1270.19
Busan-WH_0565,292.45,1,446.0
Busan-WH_0566,284.05,6,820.28
Busan-WH_0567,314.26,10,935.78
Busan-WH_0568,287.88,8,1205.16
Busan-WH_0569,295.68,3,1219.89
Busan-WH_0570,297.33,6,1205.97
Busan-WH_0571,270.23,8,723.26
Busan-WH_0572,287.88,2,851.72
Busan-WH_0573,272.81,11,1394.2
Busan-WH_0574,288.74,4,975.18
Busan-WH_0575,283.4,3,492.32
Busan-WH_0576,273.4,6,245.81
Busan-WH_0577,276.21,5,139.2
Busan-WH_0578,293.99,9,126.72
Busan-WH_0579,290.49,14,382.42
Busan-WH_0580,309.28,6,1300.16
Busan-WH_0581,280.54,9,866.0
Busan-WH_0582,283.91,7,930.99
Busan-WH_0583,302.43,6,1070.66
Busan-WH_0584,280.59,16,760.23
Busan-WH_0585,241.1,3,700.23
Busan-WH_0586,301.76,12,1438.13
Busan-WH_0587,303.06,5,455.76
Busan-WH_0588,285.76,16,1182.32
Busan-WH_0589,293.98,2,696.03
Busan-WH_0590,264.89,8,592.92
Busan-WH_0591,276.36,3,1080.55
Busan-WH_0592,301.31,5,607.7
Busan-WH_0593,279.17,12,742.32
Busan-WH_0594,277.12,4,911.84
Busan-WH_0595,271.65,8,102.57
Busan-WH_0596,296.05,15,717.97
Busan-WH_0597,298.21,16,934.17
Busan-WH_0598,281.71,18,817.39
Busan-WH_0599,251.47,16,717.94
Busan-WH_0600,292.61,6,796.5
Busan-WH_0601,284.94,3,1423.3
Busan-WH_0602,276.35,19,631.28
Busan-WH_0603,285.95,14,657.71
Busan-WH_0604,303.37,12,319.52
Busan-WH_0605,285.63,18,992.92
Busan-WH_0606,285.86,16,1358.63
Busan-WH_0607,287.76,12,1312.82
Busan-WH_0608,261.62,18,723.68
Busan-WH_0609,301.77,12,170.54
Busan-WH_0610,294.51,10,1175.53
Busan-WH_0611,265.0,19,1400.97
Busan-WH_0612,314.65,3,109.35
Busan-WH_0613,276.24,4,474.9
Busan-WH_0614,282.31,10,1435.61
Busan-WH_0615,299.04,12,1149.86
Busan-WH_0616,289.97,9,1224.63
Busan-WH_0617,316.06,9,891.38
Busan-WH_0618,280.99,17,277.07
Busan-WH_0619,260.52,2,1196.97
Busan-WH_0620,292.66,4,462.68
Busan-WH_0621,291.05,5,917.46
Busan-WH_0622,275.99,9,803.26
Busan-WH_0623,278.03,13,868.53
Busan-WH_0624,284.54,16,101.33
Busan-WH_0625,272.35,16,768.24
Busan-WH_0626,273.74,3,105.2
Busan-WH_0627,272.05,12,496.11
Busan-WH_0628,296.85,6,799.09
Busan-WH_0629,281.68,3,328.22
Busan-WH_0630,300.44,16,514.87
Busan-WH_0631,285.19,1,611.0
Busan-WH_0632,276.17,19,770.99
Busan-WH_0633,278.5,1,139.84
Busan-WH_0634,285.98,3,564.53
Busan-WH_0635,259.68,18,894.0
Busan-WH_0636,275.45,6,1176.78
Busan-WH_0637,284.6,2,1030.76
Busan-WH_0638,319.68,10,456.99
Busan-WH_0639,266.5,18,1362.84
Busan-WH_0640,304.28,13,452.16
Busan-WH_0641,323.19,14,994.66
Busan-WH_0642,272.55,7,919.29
Busan-WH_0643,272.44,5,915.84
Busan-WH_0644,277.52,19,1116.21
Busan-WH_0645,267.99,18,1173.36
Busan-WH_0646,292.15,9,1475.32
Busan-WH_0647,262.87,7,315.55
Busan-WH_0648,281.64,2,1366.89
Busan-WH_0649,279.09,12,1475.59
Busan-WH_0650,283.79,11,1261.78
Busan-WH_0651,296.93,8,108.52
Busan-WH_0652,296.02,12,348.66
Busan-WH_0653,251.3,15,1148.76
Busan-WH_0654,309.78,10,460.37
Busan-WH_0655,262.59,15,948.03
Busan-WH_0656,274.1,4,340.29
Busan-WH_0657,282.73,10,1233.17
Busan-WH_0658,251.71,10,654.8
Busan-WH_0659,281.64,13,910.95
Busan-WH_0660,299.18,16,1206.31
Busan-WH_0661,264.29,14,214.44
Busan-WH_0662,284.68,4,312.95
Busan-WH_0663,246.68,3,993.16
Busan-WH_0664,283.22,11,1253.44
Busan-WH_0665,287.61,2,354.57
Busan-WH_0666,292.9,12,310.33
Busan-WH_0667,293.19,13,1301.03
Busan-WH_0668,292.85,12,1275.78
Busan-WH_0669,302.43,18,729.35
Busan-WH_0670,303.43,10,223.35
Busan-WH_0671,308.68,1,1150.57
Busan-WH_0672,286.77,3,1298.0
Busan-WH_0673,267.18,7,829.9
Busan-WH_0674,298.68,4,1064.13
Busan-WH_0675,269.48,18,1250.28
Busan-WH_0676,301.56,8,317.21
Busan-WH_0677,306.74,10,1391.44
Busan-WH_0678,276.6,6,1431.49
Busan-WH_0679,294.94,9,868.32
Busan-WH_0680,299.92,16,529.98
Busan-WH_0681,285.1,18,748.92
Busan-WH_0682,285.83,7,992.31
Busan-WH_0683,284.64,19,688.41
Busan-WH_0684,293.44,1,194.09
Busan-WH_0685,280.56,9,1478.4
Busan-WH_0686,274.8,17,405.27
Busan-WH_0687,281.17,10,937.67
Busan-WH_0688,274.01,15,1113.79
Busan-WH_0689,291.9,12,517.46
Busan-WH_0690,270.79,14,493.77
Busan-WH_0691,295.53,1,625.99
Busan-WH_0692,303.99,2,266.42
Busan-WH_0693,297.56,16,448.06
Busan-WH_0694,289.67,5,780.11
Busan-WH_0695,301.05,5,1487.36
Busan-WH_0696,299.35,14,550.78
Busan-WH_0697,280.01,12,647.86
Busan-WH_0698,305.19,9,954.45
Busan-WH_0699,289.46,11,724.52
Busan-WH_0700,303.97,3,1006.14
Busan-WH_0701,284.04,19,935.68
Busan-WH_0702,308.37,15,522.69
Busan-WH_0703,277.24,15,1469.99
Busan-WH_0704,268.85,1,210.56
Busan-WH_0705,290.53,3,672.64
Busan-WH_0706,265.71,2,685.99
Busan-WH_0707,265.64,13,450.83
Busan-WH_0708,276.15,8,1344.71
Busan-WH_0709,278.88,6,859.51
Busan-WH_0710,290.8,14,834.83
Busan-WH_0711,278.92,4,957.46
Busan-WH_0712,312.91,16,1320.97
Busan-WH_0713,304.31,4,637.3
Busan-WH_0714,314.58,12,1151.6
Busan-WH_0715,298.11,5,464.73
Busan-WH_0716,287.39,10,492.37
Busan-WH_0717,293.26,3,149.51
Busan-WH_0718,294.95,7,1498.73
Busan-WH_0719,293.65,14,1236.94
Busan-WH_0720,276.41,1,585.77
Busan-WH_0721,285.75,17,180.65
Busan-WH_0722,280.49,15,606.18
Busan-WH_0723,290.06,6,735.0
Busan-WH_0724,313.45,7,689.31
Busan-WH_0725,275.92,6,1304.94
Busan-WH_0726,286.92,2,1142.99
Busan-WH_0727,277.7,15,1245.94
Busan-WH_0728,270.09,11,406.15
Busan-WH_0729,274.97,4,245.11
Busan-WH_0730,291.31,8,1218.02
Busan-WH_0731,300.24,7,842.21
Busan-WH_0732,302.8,14,1252.16
Busan-WH_0733,296.22,8,970.27
Busan-WH_0734,324.48,3,197.19
Busan-WH_0735,284.8,1,1239.01
Busan-WH_0736,314.79,18,694.66
Busan-WH_0737,265.28,11,817.89
Busan-WH_0738,277.75,13,760.45
Busan-WH_0739,279.66,1,551.5
Busan-WH_0740,257.74,12,637.59
Busan-WH_0741,268.6,13,171.97
Busan-WH_0742,298.56,15,459.36
Busan-WH_0743,294.33,19,914.22
Busan-WH_0744,301.16,11,377.95
Busan-WH_0745,275.3,18,882.79
Busan-WH_0746,311.88,5,452.38
Busan-WH_0747,288.5,15,1395.11
Busan-WH_0748,282.1,13,1308.45
Busan-WH_0749,301.85,2,192.64
Busan-WH_0750,271.51,17,869.39
Busan-WH_0751,292.32,4,1370.27
Busan-WH_0752,289.3,12,1301.26
Busan-WH_0753,322.16,2,138.51
Busan-WH_0754,267.87,17,1059.81
Busan-WH_0755,280.92,4,956.98
Busan-WH_0756,306.5,11,432.34
Busan-WH_0757,283.71,11,657.69
Busan-WH_0758,265.76,18,1297.44
Busan-WH_0759,269.32,15,358.81
Busan-WH_0760,325.59,14,1049.22
Busan-WH_0761,310.11,10,1424.22
Busan-WH_0762,311.14,16,1498.51
Busan-WH_0763,283.92,18,1061.66
Busan-WH_0764,292.44,13,593.76
Busan-WH_0765,274.94,2,1224.64
Busan-WH_0766,289.13,2,467.4
Busan-WH_0767,295.49,17,1457.57
Busan-WH_0768,268.67,5,502.98
Busan-WH_0769,300.52,17,778.57
Busan-WH_0770,308.53,11,1353.04
Busan-WH_0771,276.46,4,308.08
Busan-WH_0772,285.32,2,378.57
Busan-WH_0773,273.87,6,1277.8
Busan-WH_0774,278.63,2,633.4
Busan-WH_0775,312.59,3,704.29
Busan-WH_0776,280.54,8,138.01
Busan-WH_0777,253.82,6,487.69
Busan-WH_0778,272.37,4,844.09
Busan-WH_0779,292.34,11,1457.98
Busan-WH_0780,299.66,1,1325.0
Busan-WH_0781,282.07,6,1073.85
Busan-WH_0782,299.46,9,873.23
Busan-WH_0783,282.75,14,1420.7
Busan-WH_0784,295.9,14,1211.44
Busan-WH_0785,296.61,10,415.7
Busan-WH_0786,297.95,4,874.84
Busan-WH_0787,286.29,9,891.49
Busan-WH_0788,279.17,3,1349.38
Busan-WH_0789,281.78,14,175.38
Busan-WH_0790,279.87,13,733.24
Busan-WH_0791,277.35,9,1039.3
Busan-WH_0792,276.23,15,592.85
Busan-WH_0793,279.43,13,192.36
Busan-WH_0794,304.14,9,664.92
Busan-WH_0795,269.83,12,1285.68
Busan-WH_0796,296.84,15,373.18
Busan-WH_0797,274.57,11,167.48
Busan-WH_0798,268.17,8,431.97
Busan-WH_0799,305.41,7,1404.3
Busan-WH_0800,298.59,17,942.32
Busan-WH_0801,292.28,15,883.5
Busan-WH_0802,254.51,4,1468.62
Busan-WH_0803,288.06,16,1496.5
Busan-WH_0804,282.81,5,886.38
Busan-WH_0805,287.78,15,1214.67
Busan-WH_0806,257.75,2,241.04
Busan-WH_0807,272.06,4,940.85
Busan-WH_0808,280.81,7,1454.11
Busan-WH_0809,309.29,16,1394.47
Busan-WH_0810,302.03,16,699.2
Busan-WH_0811,308.67,1,773.37
Busan-WH_0812,299.29,6,426.57
Busan-WH_0813,270.0,14,727.91
Busan-WH_0814,304.4,9,1158.02
Busan-WH_0815,304.84,5,154.23
Busan-WH_0816,301.65,16,481.41
Busan-WH_0817,316.71,13,220.42
Busan-WH_0818,295.59,10,1140.3
Busan-WH_0819,291.75,6,731.59
Busan-WH_0820,270.01,12,381.71
Busan-WH_0821,298.93,7,372.02
Busan-WH_0822,279.58,1,226.64
Busan-WH_0823,302.69,8,311.23
Busan-WH_0824,291.39,11,1405.94
Busan-WH_0825,251.47,16,1399.73
Busan-WH_0826,265.78,7,1149.57
Busan-WH_0827,301.82,7,191.48
Busan-WH_0828,283.25,8,703.22
Busan-WH_0829,292.84,6,967.07
Busan-WH_0830,290.08,15,1125.08
Busan-WH_0831,302.05,18,556.88
Busan-WH_0832,297.1,15,1206.55
Busan-WH_0833,278.83,8,604.32
Busan-WH_0834,275.42,15,369.1
Busan-WH_0835,279.8,15,957.28
Busan-WH_0836,281.86,8,1359.48
Busan-WH_0837,301.87,4,1003.86
Busan-WH_0838,273.44,10,151.43
Busan-WH_0839,283.15,5,635.62
Busan-WH_0840,283.77,1,1121.24
Busan-WH_0841,285.42,15,1275.15
Busan-WH_0842,268.88,14,398.1
Busan-WH_0843,277.75,12,401.86
Busan-WH_0844,322.7,19,226.88
Busan-WH_0845,296.04,14,180.44
Busan-WH_0846,266.88,17,974.71
Busan-WH_0847,287.55,2,126.33
Busan-WH_0848,268.88,7,855.01
Busan-WH_0849,289.61,12,484.51
