hub_id,month,average_inventory_tons,holding_cost_usd
WH_0007,2023-02,428.71,15480.12
WH_0007,2023-03,424.23,18046.05
WH_0007,2023-04,436.45,9565.19
WH_0007,2023-05,119.18,18044.9
WH_0007,2023-06,449.99,19080.36
WH_0007,2023-07,351.51,16949.76
WH_0007,2023-08,134.78,14720.49
WH_0007,2023-09,404.82,19648.57
WH_0007,2023-10,168.75,11390.58
WH_0007,2023-11,223.84,17004.82
WH_0007,2023-12,262.44,18791.25
WH_0008,2023-01,365.33,11674.75
WH_0008,2023-02,276.3,9063.74
WH_0008,2023-03,270.37,15218.33
WH_0008,2023-04,466.82,8311.06
WH_0008,2023-05,221.17,12228.32
WH_0008,2023-06,318.13,16223.8
WH_0008,2023-07,206.27,12622.91
WH_0008,2023-08,232.35,14747.82
WH_0008,2023-09,169.13,16595.09
WH_0008,2023-10,382.66,11060.03
WH_0008,2023-11,482.27,15920.46
WH_0008,2023-12,113.55,6950.21
WH_0009,2023-01,402.58,17267.48
WH_0009,2023-02,220.13,9202.41
WH_0009,2023-03,234.18,11944.53
WH_0009,2023-04,419.1,15236.52
WH_0009,2023-05,114.02,15733.37
WH_0009,2023-06,306.43,18901.3
WH_0009,2023-07,144.89,18059.02
WH_0009,2023-08,106.67,12931.87
WH_0009,2023-09,176.07,17707.94
WH_0009,2023-10,344.0,6159.71
WH_0009,2023-11,155.13,5161.27
WH_0009,2023-12,395.27,6858.16
WH_0010,2023-01,495.71,15601.7
WH_0010,2023-02,256.34,10595.67
WH_0010,2023-03,452.0,17025.43
WH_0010,2023-04,278.19,17362.68
WH_0010,2023-05,302.16,13906.04
WH_0010,2023-06,127.14,10131.49
WH_0010,2023-07,423.36,9952.15
WH_0010,2023-08,178.42,8670.68
WH_0010,2023-09,231.24,19783.23
WH_0010,2023-10,227.21,9186.36
WH_0010,2023-11,484.3,15419.07
WH_0010,2023-12,398.54,9058.45
WH_0011,2023-01,373.73,14116.88
WH_0011,2023-02,181.5,8185.72
WH_0011,2023-03,262.57,14263.46
WH_0011,2023-04,403.39,16560.26
WH_0011,2023-05,163.79,17077.08
WH_0011,2023-06,491.02,19159.18
WH_0011,2023-07,327.08,8752.68
WH_0011,2023-08,469.34,14509.21
WH_0011,2023-09,264.49,12604.0
WH_0011,2023-10,385.45,14864.65
WH_0011,2023-11,213.07,10350.98
WH_0011,2023-12,313.37,14185.27
WH_0012,2023-01,287.71,17820.81
WH_0012,2023-02,110.72,11225.64
WH_0012,2023-03,462.06,16313.09
WH_0012,2023-04,490.83,9994.17
WH_0012,2023-05,222.58,10834.4
WH_0012,2023-06,496.75,13308.81
WH_0012,2023-07,480.37,12336.5
WH_0012,2023-08,268.85,9145.22
WH_0012,2023-09,336.53,15003.32
WH_0012,2023-10,192.77,16239.65
WH_0012,2023-11,116.38,12048.48
WH_0012,2023-12,456.93,11739.64
WH_0013,2023-01,242.38,11365.34
WH_0013,2023-02,199.89,8945.21
WH_0013,2023-03,131.7,8931.15
WH_0013,2023-04,493.42,14218.84
WH_0013,2023-05,393.94,8442.72
WH_0013,2023-06,324.14,6526.26
WH_0013,2023-07,180.48,13315.14
WH_0013,2023-08,217.39,17018.8
WH_0013,2023-09,373.52,12326.58
WH_0013,2023-10,212.64,13081.87
WH_0013,2023-11,205.69,7405.02
WH_0013,2023-12,335.47,16584.43
WH_0014,2023-01,355.67,19336.67
WH_0014,2023-02,211.23,13296.15
WH_0014,2023-03,242.17,17350.04
WH_0014,2023-04,443.61,7708.8
WH_0014,2023-05,344.2,11909.17
WH_0014,2023-06,247.32,11706.17
WH_0014,2023-07,374.44,18918.06
WH_0014,2023-08,193.52,18239.6
WH_0014,2023-09,278.75,18051.03
WH_0014,2023-10,361.9,16863.09
WH_0014,2023-11,167.1,10101.14
WH_0014,2023-12,268.98,13468.13
WH_0015,2023-01,491.81,6243.91
WH_0015,2023-02,386.1,15289.84
WH_0015,2023-03,405.38,16750.3
WH_0015,2023-04,472.79,17587.35
WH_0015,2023-05,292.4,11406.33
WH_0015,2023-06,214.81,10859.86
WH_0015,2023-07,464.9,8087.39
WH_0015,2023-08,243.67,19579.61
WH_0015,2023-09,462.25,13639.92
WH_0015,2023-10,250.17,18996.74
WH_0015,2023-11,113.41,13806.37
WH_0015,2023-12,348.43,7020.73
WH_0016,2023-01,330.92,18471.57
WH_0016,2023-02,245.09,12266.09
WH_0016,2023-03,482.55,8316.49
WH_0016,2023-04,443.58,10868.72
WH_0016,2023-05,165.89,8228.94
WH_0016,2023-06,142.23,9880.72
WH_0016,2023-07,108.1,12527.06
WH_0016,2023-08,383.74,8142.94
WH_0016,2023-09,319.95,10017.01
WH_0016,2023-10,269.73,19125.49
WH_0016,2023-11,231.05,11675.94
WH_0016,2023-12,433.25,8382.76
WH_0017,2023-01,311.05,15010.74
WH_0017,2023-02,220.23,17060.95
WH_0017,2023-03,343.08,10732.13
WH_0017,2023-04,474.24,19881.33
WH_0017,2023-05,471.21,11934.68
WH_0017,2023-06,254.97,13603.46
WH_0017,2023-07,426.61,8947.68
WH_0017,2023-08,149.42,12615.34
WH_0017,2023-09,317.16,11688.83
WH_0017,2023-10,135.77,17003.64
WH_0017,2023-11,456.05,10291.41
WH_0017,2023-12,281.48,8215.22
WH_0018,2023-01,394.07,13482.56
WH_0018,2023-02,273.3,10228.05
WH_0018,2023-03,158.77,11568.55
WH_0018,2023-04,100.43,13711.82
WH_0018,2023-05,478.31,14832.05
WH_0018,2023-06,397.01,7807.34
WH_0018,2023-07,220.91,13503.7
WH_0018,2023-08,338.05,13002.86
WH_0018,2023-09,462.67,12750.54
WH_0018,2023-10,471.65,5595.2
WH_0018,2023-11,140.95,14081.37
WH_0018,2023-12,182.33,13713.91
WH_0019,2023-01,478.1,17175.11
WH_0019,2023-02,106.45,18628.41
WH_0019,2023-03,377.08,13163.3
WH_0019,2023-04,240.42,19835.88
WH_0019,2023-05,432.7,15937.16
WH_0019,2023-06,294.88,18191.61
WH_0019,2023-07,309.0,11633.81
WH_0019,2023-08,325.73,13228.0
WH_0019,2023-09,306.83,5673.98
WH_0019,2023-10,134.62,7542.47
WH_0019,2023-11,434.98,11782.51
WH_0019,2023-12,134.98,6740.24
WH_0020,2023-01,465.47,15136.02
WH_0020,2023-02,306.04,16518.75
WH_0020,2023-03,316.17,16327.78
WH_0020,2023-04,457.74,12782.75
WH_0020,2023-05,274.0,5065.2
WH_0020,2023-06,379.34,13448.14
WH_0020,2023-07,183.91,8105.03
WH_0020,2023-08,140.97,9101.05
WH_0020,2023-09,393.49,10996.02
WH_0020,2023-10,419.69,14920.93
WH_0020,2023-11,215.07,19656.6
WH_0020,2023-12,213.53,16942.94
WH_0021,2023-01,264.99,9664.03
WH_0021,2023-02,209.82,8941.04
WH_0021,2023-03,345.54,15898.7
WH_0021,2023-04,109.38,19113.99
WH_0021,2023-05,324.65,8442.98
WH_0021,2023-06,224.47,9390.19
WH_0021,2023-07,156.74,17313.3
WH_0021,2023-08,255.47,15008.35
WH_0021,2023-09,168.68,8659.73
WH_0021,2023-10,491.23,13319.0
WH_0021,2023-11,340.78,16024.7
WH_0021,2023-12,254.54,15993.41
WH_0022,2023-01,176.93,18995.65
WH_0022,2023-02,376.46,10084.7
WH_0022,2023-03,496.86,18820.72
WH_0022,2023-04,321.56,19992.62
WH_0022,2023-05,110.87,6218.94
WH_0022,2023-06,372.76,17642.68
WH_0022,2023-07,374.86,14433.16
WH_0022,2023-08,191.54,5489.56
WH_0022,2023-09,494.98,13212.26
WH_0022,2023-10,292.22,9782.71
WH_0022,2023-11,176.3,13676.24
WH_0022,2023-12,302.37,15161.46
WH_0023,2023-01,144.82,5517.92
WH_0023,2023-02,232.64,5221.39
WH_0023,2023-03,315.75,18398.28
WH_0023,2023-04,495.14,14067.64
WH_0023,2023-05,257.87,17086.8
WH_0023,2023-06,235.51,9438.26
WH_0023,2023-07,103.15,15348.51
WH_0023,2023-08,191.64,13604.44
WH_0023,2023-09,155.19,11002.42
WH_0023,2023-10,114.13,13529.36
WH_0023,2023-11,237.8,8934.79
WH_0023,2023-12,426.96,18958.09
WH_0024,2023-01,255.73,14539.99
WH_0024,2023-02,324.97,15869.8
WH_0024,2023-03,154.77,15613.03
WH_0024,2023-04,103.47,19068.96
WH_0024,2023-05,237.94,18029.98
WH_0024,2023-06,314.44,6765.94
WH_0024,2023-07,429.57,16668.93
WH_0024,2023-08,338.46,15764.77
WH_0024,2023-09,217.3,13926.23
WH_0024,2023-10,306.89,7761.01
WH_0024,2023-11,443.45,13507.4
WH_0024,2023-12,255.39,12306.51
WH_0025,2023-01,212.52,15294.97
WH_0025,2023-02,414.73,13188.88
WH_0025,2023-03,224.48,16373.31
WH_0025,2023-04,257.53,6827.89
WH_0025,2023-05,469.36,14044.93
WH_0025,2023-06,398.82,5296.16
WH_0025,2023-07,414.06,5551.39
WH_0025,2023-08,450.13,17705.28
WH_0025,2023-09,351.89,13565.2
WH_0025,2023-10,345.19,7505.18
WH_0025,2023-11,214.42,15503.35
WH_0025,2023-12,111.48,18652.45
WH_0026,2023-01,153.82,18675.48
WH_0026,2023-02,117.69,7452.86
WH_0026,2023-03,251.79,5606.55
WH_0026,2023-04,430.43,8718.2
WH_0026,2023-05,112.86,14710.2
WH_0026,2023-06,486.33,7083.03
WH_0026,2023-07,109.21,15498.5
WH_0026,2023-08,461.27,6472.75
WH_0026,2023-09,204.19,6799.2
WH_0026,2023-10,461.66,14039.86
WH_0026,2023-11,393.92,9500.16
WH_0026,2023-12,291.46,16642.96
WH_0027,2023-01,251.8,19368.31
WH_0027,2023-02,243.62,10421.32
WH_0027,2023-03,462.77,7289.37
WH_0027,2023-04,337.15,6350.36
WH_0027,2023-05,171.1,15700.83
WH_0027,2023-06,346.03,13943.17
WH_0027,2023-07,465.22,19436.77
WH_0027,2023-08,149.49,12349.77
WH_0027,2023-09,380.46,8739.44
WH_0027,2023-10,219.31,17835.35
WH_0027,2023-11,269.12,16743.34
WH_0027,2023-12,380.29,16104.13
WH_0028,2023-01,154.43,8024.96
WH_0028,2023-02,420.96,8691.26
WH_0028,2023-03,226.7,11780.78
WH_0028,2023-04,157.75,11951.17
WH_0028,2023-05,385.64,8966.33
WH_0028,2023-06,167.64,7655.94
WH_0028,2023-07,492.06,6770.05
WH_0028,2023-08,229.63,12017.21
WH_0028,2023-09,160.87,9583.53
WH_0028,2023-10,332.85,12329.8
WH_0028,2023-11,483.07,16589.73
WH_0028,2023-12,490.83,14938.65
WH_0029,2023-01,361.0,8155.39
WH_0029,2023-02,317.65,11707.13
WH_0029,2023-03,404.71,7499.78
WH_0029,2023-04,383.75,6602.41
WH_0029,2023-05,408.6,12398.51
WH_0029,2023-06,319.73,18425.34
WH_0029,2023-07,313.54,5598.09
WH_0029,2023-08,258.31,18589.0
WH_0029,2023-09,265.43,11829.34
WH_0029,2023-10,461.05,16052.56
WH_0029,2023-11,112.42,18365.96
WH_0029,2023-12,466.43,7515.39
WH_0030,2023-01,203.04,5005.18
WH_0030,2023-02,172.06,15402.75
WH_0030,2023-03,238.74,16677.98
WH_0030,2023-04,387.34,15571.96
WH_0030,2023-05,112.95,18918.14
WH_0030,2023-06,377.78,11980.05
WH_0030,2023-07,255.32,15331.52
WH_0030,2023-08,320.43,18260.1
WH_0030,2023-09,390.77,10353.59
WH_0030,2023-10,173.21,6079.57
WH_0030,2023-11,348.53,11798.77
WH_0030,2023-12,279.89,13543.09
WH_0031,2023-01,412.71,11480.1
WH_0031,2023-02,152.68,9130.61
WH_0031,2023-03,227.95,16336.95
WH_0031,2023-04,448.06,8597.09
WH_0031,2023-05,213.95,11423.12
WH_0031,2023-06,261.9,18263.97
WH_0031,2023-07,211.33,8385.14
WH_0031,2023-08,131.91,10867.05
WH_0031,2023-09,315.57,6094.19
WH_0031,2023-10,495.29,19782.92
WH_0031,2023-11,309.5,13256.15
WH_0031,2023-12,107.77,12490.01
WH_0032,2023-01,316.9,16287.85
WH_0032,2023-02,218.98,19780.55
WH_0032,2023-03,174.64,9930.19
WH_0032,2023-04,405.1,18977.28
WH_0032,2023-05,169.02,12142.48
WH_0032,2023-06,306.49,7115.41
WH_0032,2023-07,246.73,17760.25
WH_0032,2023-08,239.69,11371.17
WH_0032,2023-09,227.43,9954.47
WH_0032,2023-10,430.79,11714.85
WH_0032,2023-11,272.75,8924.53
WH_0032,2023-12,441.29,11358.05
WH_0033,2023-01,224.08,14141.51
WH_0033,2023-02,206.87,5917.76
WH_0033,2023-03,407.6,15130.72
WH_0033,2023-04,390.25,7517.02
WH_0033,2023-05,416.73,5155.82
WH_0033,2023-06,242.65,7669.07
WH_0033,2023-07,362.07,10143.39
WH_0033,2023-08,466.73,18478.22
WH_0033,2023-09,153.7,12204.62
WH_0033,2023-10,304.55,12909.05
WH_0033,2023-11,280.41,6464.88
WH_0033,2023-12,207.88,10378.76
WH_0034,2023-01,470.91,12826.44
WH_0034,2023-02,345.21,16992.86
WH_0034,2023-03,460.53,6560.47
WH_0034,2023-04,457.57,13036.37
WH_0034,2023-05,326.62,17457.09
WH_0034,2023-06,107.38,19790.65
WH_0034,2023-07,174.9,18387.51
WH_0034,2023-08,339.6,15046.43
WH_0034,2023-09,493.98,16854.35
WH_0034,2023-10,389.5,14385.31
WH_0034,2023-11,361.71,17424.22
WH_0034,2023-12,310.1,12197.05
WH_0035,2023-01,330.41,12697.36
WH_0035,2023-02,203.37,7360.5
WH_0035,2023-03,347.94,19871.7
WH_0035,2023-04,403.55,10119.69
WH_0035,2023-05,493.82,13442.05
WH_0035,2023-06,458.8,7748.47
WH_0035,2023-07,140.51,16825.94
WH_0035,2023-08,499.2,16418.18
WH_0035,2023-09,409.81,9202.14
WH_0035,2023-10,148.41,10763.32
WH_0035,2023-11,335.29,9857.83
WH_0035,2023-12,287.17,16330.36
WH_0036,2023-01,208.89,7444.2
WH_0036,2023-02,132.78,6745.19
WH_0036,2023-03,364.24,14887.15
WH_0036,2023-04,333.91,8725.74
WH_0036,2023-05,251.48,11998.64
WH_0036,2023-06,247.11,6842.89
WH_0036,2023-07,498.9,19136.19
WH_0036,2023-08,281.09,5203.53
WH_0036,2023-09,333.27,17082.89
WH_0036,2023-10,106.13,13412.98
WH_0036,2023-11,231.35,17507.63
WH_0036,2023-12,425.12,19598.83
WH_0037,2023-01,401.37,17780.44
WH_0037,2023-02,492.14,9460.09
WH_0037,2023-03,181.26,11002.17
WH_0037,2023-04,254.98,10566.44
WH_0037,2023-05,200.92,14362.32
WH_0037,2023-06,448.19,9970.97
WH_0037,2023-07,358.84,9246.47
WH_0037,2023-08,105.01,14640.66
WH_0037,2023-09,347.3,16347.73
WH_0037,2023-10,272.52,11600.19
WH_0037,2023-11,332.18,15524.12
WH_0037,2023-12,439.76,14677.03
WH_0038,2023-01,153.96,17655.06
WH_0038,2023-02,238.72,10852.18
WH_0038,2023-03,273.17,9999.79
WH_0038,2023-04,481.47,14840.02
WH_0038,2023-05,178.07,18915.7
WH_0038,2023-06,241.58,5988.53
WH_0038,2023-07,328.74,8107.92
WH_0038,2023-08,183.31,6464.15
WH_0038,2023-09,178.36,12830.8
WH_0038,2023-10,246.91,14979.64
WH_0038,2023-11,266.18,9230.47
WH_0038,2023-12,336.13,5557.33
WH_0039,2023-01,283.13,16573.74
WH_0039,2023-02,377.55,6097.12
WH_0039,2023-03,498.75,15934.29
WH_0039,2023-04,288.51,5975.16
WH_0039,2023-05,433.8,10516.22
WH_0039,2023-06,304.09,13070.18
WH_0039,2023-07,232.78,12648.23
WH_0039,2023-08,392.88,18302.86
WH_0039,2023-09,343.99,7842.99
WH_0039,2023-10,487.82,9194.04
WH_0039,2023-11,325.98,16653.7
WH_0039,2023-12,338.8,11314.13
WH_0040,2023-01,312.15,13128.28
WH_0040,2023-02,273.93,10453.5
WH_0040,2023-03,141.94,11775.84
WH_0040,2023-04,155.85,17681.14
WH_0040,2023-05,467.23,16537.8
WH_0040,2023-06,311.28,13157.63
WH_0040,2023-07,469.19,7338.89
WH_0040,2023-08,371.02,12726.98
WH_0040,2023-09,428.03,15938.99
WH_0040,2023-10,420.15,10529.58
WH_0040,2023-11,381.3,8460.84
WH_0040,2023-12,380.07,17183.08
WH_0041,2023-01,165.9,10303.35
WH_0041,2023-02,423.9,18390.91
WH_0041,2023-03,184.38,9345.81
WH_0041,2023-04,433.16,7640.65
WH_0041,2023-05,196.06,7995.31
WH_0041,2023-06,109.94,17529.84
WH_0041,2023-07,251.86,7964.36
WH_0041,2023-08,358.79,17358.64
WH_0041,2023-09,317.56,14120.68
WH_0041,2023-10,137.88,13350.76
WH_0041,2023-11,483.77,18080.63
WH_0041,2023-12,399.76,14141.62
WH_0042,2023-01,376.26,12369.51
WH_0042,2023-02,171.34,15751.44
WH_0042,2023-03,164.3,5771.04
WH_0042,2023-04,265.19,6454.25
WH_0042,2023-05,193.68,8871.92
WH_0042,2023-06,324.3,16976.13
WH_0042,2023-07,262.27,8634.7
WH_0042,2023-08,370.11,12557.76
WH_0042,2023-09,404.88,7428.91
WH_0042,2023-10,487.47,12742.19
WH_0042,2023-11,285.93,5328.65
WH_0042,2023-12,315.57,17282.34
WH_0043,2023-01,106.95,6114.08
WH_0043,2023-02,330.47,6984.79
WH_0043,2023-03,259.16,11745.43
WH_0043,2023-04,264.98,19378.87
WH_0043,2023-05,434.07,12550.49
WH_0043,2023-06,129.04,14591.54
WH_0043,2023-07,312.97,17296.51
WH_0043,2023-08,171.37,10877.83
WH_0043,2023-09,221.47,8127.35
WH_0043,2023-10,365.88,11118.04
WH_0043,2023-11,340.47,17670.66
WH_0043,2023-12,154.18,5048.49
WH_0044,2023-01,465.07,19577.82
WH_0044,2023-02,282.1,14909.6
WH_0044,2023-03,478.06,6531.63
WH_0044,2023-04,401.4,14502.05
WH_0044,2023-05,133.01,12051.38
WH_0044,2023-06,303.48,9048.18
WH_0044,2023-07,303.07,11510.18
WH_0044,2023-08,142.48,17306.45
WH_0044,2023-09,333.2,13241.11
WH_0044,2023-10,116.72,8303.86
WH_0044,2023-11,254.6,7100.7
WH_0044,2023-12,159.68,8535.1
WH_0045,2023-01,314.18,12489.02
WH_0045,2023-02,382.49,10238.92
WH_0045,2023-03,476.55,5454.88
WH_0045,2023-04,179.76,13442.22
WH_0045,2023-05,432.72,7469.47
WH_0045,2023-06,293.68,16379.16
WH_0045,2023-07,464.71,8723.3
WH_0045,2023-08,322.28,18338.51
WH_0045,2023-09,293.5,5151.88
WH_0045,2023-10,320.35,9158.05
WH_0045,2023-11,387.35,17472.65
WH_0045,2023-12,475.87,11591.91
WH_0046,2023-01,246.95,12324.1
WH_0046,2023-02,314.5,10557.34
WH_0046,2023-03,314.36,13979.51
WH_0046,2023-04,144.52,8477.08
WH_0046,2023-05,431.4,15693.9
WH_0046,2023-06,175.33,14853.97
WH_0046,2023-07,142.2,12745.31
WH_0046,2023-08,164.56,17848.12
WH_0046,2023-09,448.69,12775.58
WH_0046,2023-10,140.36,6444.61
WH_0046,2023-11,445.88,19267.86
WH_0046,2023-12,319.63,6396.95
WH_0047,2023-01,133.45,15813.81
WH_0047,2023-02,205.69,12303.75
WH_0047,2023-03,135.13,8265.34
WH_0047,2023-04,301.9,11111.73
WH_0047,2023-05,453.2,11563.17
WH_0047,2023-06,157.27,17027.24
WH_0047,2023-07,296.96,7605.32
WH_0047,2023-08,114.85,8379.64
WH_0047,2023-09,114.42,9416.7
WH_0047,2023-10,309.21,7238.03
WH_0047,2023-11,320.92,9970.23
WH_0047,2023-12,245.31,6576.82
WH_0048,2023-01,313.88,10860.43
WH_0048,2023-02,176.42,19944.87
WH_0048,2023-03,255.39,19097.72
WH_0048,2023-04,443.79,12538.41
WH_0048,2023-05,431.3,11290.48
WH_0048,2023-06,177.51,15296.19
WH_0048,2023-07,274.83,7883.78
WH_0048,2023-08,151.36,12163.16
WH_0048,2023-09,352.37,5590.35
WH_0048,2023-10,249.0,8930.17
WH_0048,2023-11,298.68,11387.55
WH_0048,2023-12,418.44,15146.14
WH_0049,2023-01,320.04,13613.3
WH_0049,2023-02,115.17,9607.87
WH_0049,2023-03,241.02,19397.58
WH_0049,2023-04,410.5,16999.84
WH_0049,2023-05,253.6,14815.57
WH_0049,2023-06,350.72,6180.27
WH_0049,2023-07,242.6,5957.31
WH_0049,2023-08,387.61,17725.67
WH_0049,2023-09,439.67,11167.99
WH_0049,2023-10,337.91,19710.5
WH_0049,2023-11,228.54,15355.22
WH_0049,2023-12,375.69,9246.07
WH_0050,2023-01,397.92,10184.34
WH_0050,2023-02,449.17,5257.75
WH_0050,2023-03,121.35,14770.08
WH_0050,2023-04,260.34,18036.26
WH_0050,2023-05,288.24,9310.0
WH_0050,2023-06,484.48,5742.8
WH_0050,2023-07,377.31,9874.85
WH_0050,2023-08,285.66,13963.2
WH_0050,2023-09,376.51,14628.42
WH_0050,2023-10,219.76,9339.71
WH_0050,2023-11,203.09,18877.31
WH_0050,2023-12,131.5,12993.46
WH_0051,2023-01,157.88,15495.87
WH_0051,2023-02,323.17,14123.84
WH_0051,2023-03,462.41,19950.04
WH_0051,2023-04,385.71,17297.9
WH_0051,2023-05,290.17,14023.57
WH_0051,2023-06,101.31,16901.1
WH_0051,2023-07,381.77,15147.79
WH_0051,2023-08,335.49,14669.88
WH_0051,2023-09,125.89,7110.41
WH_0051,2023-10,176.32,15360.1
WH_0051,2023-11,338.63,19213.31
WH_0051,2023-12,171.83,8159.58
WH_0052,2023-01,258.25,10454.33
WH_0052,2023-02,252.58,18507.76
WH_0052,2023-03,344.69,15434.94
WH_0052,2023-04,265.1,9745.19
WH_0052,2023-05,202.59,17929.97
WH_0052,2023-06,410.77,7732.37
WH_0052,2023-07,497.9,5092.01
WH_0052,2023-08,426.67,9744.24
WH_0052,2023-09,349.03,19435.74
WH_0052,2023-10,130.51,18422.26
WH_0052,2023-11,404.63,9689.43
WH_0052,2023-12,441.7,18884.26
WH_0053,2023-01,157.07,18090.85
WH_0053,2023-02,458.74,7483.8
WH_0053,2023-03,299.33,8829.2
WH_0053,2023-04,189.28,13209.1
WH_0053,2023-05,311.67,14382.71
WH_0053,2023-06,251.89,12396.42
WH_0053,2023-07,153.73,16514.83
WH_0053,2023-08,368.59,7592.09
WH_0053,2023-09,106.73,14801.52
WH_0053,2023-10,182.49,9555.62
WH_0053,2023-11,175.82,15754.48
WH_0053,2023-12,358.42,10070.19
WH_0054,2023-01,111.7,7550.43
WH_0054,2023-02,305.23,12251.38
WH_0054,2023-03,192.29,13678.1
WH_0054,2023-04,119.04,17990.4
WH_0054,2023-05,117.8,11192.79
WH_0054,2023-06,199.63,19169.78
WH_0054,2023-07,223.23,8010.29
WH_0054,2023-08,270.04,15926.12
WH_0054,2023-09,392.49,5825.51
WH_0054,2023-10,328.61,17757.76
WH_0054,2023-11,364.29,12650.24
WH_0054,2023-12,177.61,14565.99
WH_0055,2023-01,332.85,16750.1
WH_0055,2023-02,448.3,9244.98
WH_0055,2023-03,237.14,19676.32
WH_0055,2023-04,481.96,16212.66
WH_0055,2023-05,496.27,19357.47
WH_0055,2023-06,439.71,5014.18
WH_0055,2023-07,145.46,5629.73
WH_0055,2023-08,108.9,15284.71
WH_0055,2023-09,399.18,19156.97
WH_0055,2023-10,161.31,5232.78
WH_0055,2023-11,143.06,6696.26
WH_0055,2023-12,200.23,17579.83
WH_0056,2023-01,296.44,8555.33
WH_0056,2023-02,226.65,6961.58
WH_0056,2023-03,452.3,10153.48
WH_0056,2023-04,418.88,10323.5
WH_0056,2023-05,108.9,17438.33
WH_0056,2023-06,200.43,11389.87
WH_0056,2023-07,399.17,12381.47
WH_0056,2023-08,272.4,5582.86
WH_0056,2023-09,330.6,5795.98
WH_0056,2023-10,451.48,19719.9
WH_0056,2023-11,482.93,15901.92
WH_0056,2023-12,317.4,16933.11
WH_0057,2023-01,231.81,17023.71
WH_0057,2023-02,439.88,10691.0
WH_0057,2023-03,499.7,16594.32
WH_0057,2023-04,171.87,10407.7
WH_0057,2023-05,423.62,5421.68
WH_0057,2023-06,470.06,6634.75
WH_0057,2023-07,187.06,11493.45
WH_0057,2023-08,122.41,16505.14
WH_0057,2023-09,121.49,12492.02
WH_0057,2023-10,171.69,10455.54
WH_0057,2023-11,430.95,19980.04
WH_0057,2023-12,385.49,11460.09
WH_0058,2023-01,386.5,13568.6
WH_0058,2023-02,416.74,8775.64
WH_0058,2023-03,289.24,19535.69
WH_0058,2023-04,183.66,11127.25
WH_0058,2023-05,338.27,11752.91
WH_0058,2023-06,339.82,7198.48
WH_0058,2023-07,254.31,12663.01
WH_0058,2023-08,382.46,8946.35
WH_0058,2023-09,323.3,10915.13
WH_0058,2023-10,316.91,19811.94
WH_0058,2023-11,245.08,15457.76
WH_0058,2023-12,302.29,10148.22
WH_0059,2023-01,161.88,10906.23
