hub_id,peak_month,ot_hours,flex_cost_usd
WH_0079,2023-11,91.3,7312.14
WH_0079,2023-12,148.0,4209.9
WH_0080,2023-11,113.4,6210.31
WH_0080,2023-12,177.3,2206.61
WH_0081,2023-11,57.3,9071.38
WH_0081,2023-12,70.2,2527.75
WH_0082,2023-11,142.7,4562.85
WH_0082,2023-12,116.6,2250.9
WH_0083,2023-11,110.0,3064.94
WH_0083,2023-12,196.2,3503.06
WH_0084,2023-11,87.7,3552.8
WH_0084,2023-12,104.4,7490.6
WH_0085,2023-11,71.7,9705.25
WH_0085,2023-12,198.0,4094.43
WH_0086,2023-11,96.8,3418.59
WH_0086,2023-12,50.6,6559.04
WH_0087,2023-11,132.6,8251.91
WH_0087,2023-12,53.7,3357.79
WH_0088,2023-11,144.9,8414.78
WH_0088,2023-12,125.5,9580.93
WH_0089,2023-11,132.6,2689.93
WH_0089,2023-12,138.7,8233.95
WH_0090,2023-11,146.8,8458.74
WH_0090,2023-12,184.0,4249.61
WH_0091,2023-11,187.0,5912.55
WH_0091,2023-12,162.3,7096.56
WH_0092,2023-11,129.0,6126.78
WH_0092,2023-12,113.5,3222.78
WH_0093,2023-11,117.5,7049.55
WH_0093,2023-12,121.3,2818.49
WH_0094,2023-11,170.5,8477.25
WH_0094,2023-12,101.4,8904.07
WH_0095,2023-11,80.2,7953.4
WH_0095,2023-12,144.9,9396.86
WH_0096,2023-11,173.7,4025.29
WH_0096,2023-12,91.0,8741.21
WH_0097,2023-11,88.9,8310.43
WH_0097,2023-12,64.1,3971.76
WH_0098,2023-11,190.0,8815.89
WH_0098,2023-12,163.0,9528.84
WH_0099,2023-11,63.2,2244.91
WH_0099,2023-12,171.7,4793.09
WH_0100,2023-11,154.0,8470.18
WH_0100,2023-12,122.6,8378.1
WH_0101,2023-11,70.6,2829.23
WH_0101,2023-12,155.6,6477.5
WH_0102,2023-11,123.8,6862.72
WH_0102,2023-12,157.5,7002.68
WH_0103,2023-11,154.2,2212.33
WH_0103,2023-12,148.8,5045.92
WH_0104,2023-11,191.5,7979.36
WH_0104,2023-12,90.2,5639.21
WH_0105,2023-11,72.1,9958.43
WH_0105,2023-12,95.1,6834.79
WH_0106,2023-11,187.4,9547.03
WH_0106,2023-12,100.1,9177.56
WH_0107,2023-11,162.8,6119.16
WH_0107,2023-12,155.2,5007.65
WH_0108,2023-11,51.4,3260.98
WH_0108,2023-12,113.3,3118.0
WH_0109,2023-11,104.4,2390.43
WH_0109,2023-12,154.5,4365.52
WH_0110,2023-11,66.8,5422.82
WH_0110,2023-12,58.8,8077.93
WH_0111,2023-11,172.6,9472.87
WH_0111,2023-12,77.2,9648.78
WH_0112,2023-11,167.4,9565.12
WH_0112,2023-12,73.9,2430.05
WH_0113,2023-11,117.5,9148.89
WH_0113,2023-12,183.4,7980.03
WH_0114,2023-11,85.8,8050.31
WH_0114,2023-12,173.7,5849.46
WH_0115,2023-11,54.3,3384.14
WH_0115,2023-12,139.9,6918.94
WH_0116,2023-11,173.3,3177.41
WH_0116,2023-12,50.2,2340.04
WH_0117,2023-11,89.8,6460.32
WH_0117,2023-12,147.3,8038.94
WH_0118,2023-11,179.2,3264.45
WH_0118,2023-12,78.0,2423.71
WH_0119,2023-11,113.5,8874.41
WH_0119,2023-12,81.1,5441.3
WH_0120,2023-11,164.0,2300.44
WH_0120,2023-12,127.1,9644.33
WH_0121,2023-11,77.6,9694.66
WH_0121,2023-12,193.9,6699.98
WH_0122,2023-11,134.4,5252.16
WH_0122,2023-12,129.7,2954.36
WH_0123,2023-11,65.8,4104.52
WH_0123,2023-12,197.2,8463.31
WH_0124,2023-11,99.3,9190.28
WH_0124,2023-12,162.1,6200.76
WH_0125,2023-11,156.2,9561.77
WH_0125,2023-12,150.3,5948.51
WH_0126,2023-11,193.4,9578.96
WH_0126,2023-12,127.1,3651.24
WH_0127,2023-11,188.6,6736.88
WH_0127,2023-12,113.0,6191.94
WH_0128,2023-11,188.2,2284.44
WH_0128,2023-12,127.4,7495.26
WH_0129,2023-11,126.9,9438.05
WH_0129,2023-12,158.7,7496.22
WH_0130,2023-11,166.0,5984.79
WH_0130,2023-12,89.0,8571.06
WH_0131,2023-11,94.9,6674.14
WH_0131,2023-12,192.0,8542.41
WH_0132,2023-11,74.2,4960.53
WH_0132,2023-12,193.5,9816.39
WH_0133,2023-11,80.3,2660.32
WH_0133,2023-12,167.4,6175.01
WH_0134,2023-11,51.3,5835.38
WH_0134,2023-12,94.8,2061.12
WH_0135,2023-11,189.1,8754.29
WH_0135,2023-12,109.5,3770.86
WH_0136,2023-11,60.5,7453.43
WH_0136,2023-12,98.2,3759.54
WH_0137,2023-11,115.4,5724.41
WH_0137,2023-12,175.1,7122.58
WH_0138,2023-11,124.8,7181.94
WH_0138,2023-12,76.6,7108.51
WH_0139,2023-11,96.7,2152.57
WH_0139,2023-12,51.7,2980.76
WH_0140,2023-11,179.4,5844.1
WH_0140,2023-12,107.0,9268.35
WH_0141,2023-11,155.8,7635.8
WH_0141,2023-12,175.8,9288.47
WH_0142,2023-11,144.1,9406.08
WH_0142,2023-12,96.4,2694.68
WH_0143,2023-11,56.7,2164.63
WH_0143,2023-12,141.9,9637.58
WH_0144,2023-11,83.0,9864.76
WH_0144,2023-12,76.6,7091.07
WH_0145,2023-11,146.2,3229.92
WH_0145,2023-12,54.7,6223.26
WH_0146,2023-11,121.5,4557.37
WH_0146,2023-12,129.4,8859.68
WH_0147,2023-11,138.6,3172.76
WH_0147,2023-12,69.9,2175.02
WH_0148,2023-11,104.8,6588.53
WH_0148,2023-12,178.2,4528.67
WH_0149,2023-11,172.9,7700.71
WH_0149,2023-12,195.1,6094.8
WH_0150,2023-11,115.1,4526.71
WH_0150,2023-12,154.3,9305.3
WH_0151,2023-11,104.1,6999.63
WH_0151,2023-12,113.1,7800.79
WH_0152,2023-11,184.0,2126.04
WH_0152,2023-12,111.9,2635.37
WH_0153,2023-11,53.3,3774.47
WH_0153,2023-12,147.2,2350.31
WH_0154,2023-11,150.8,3409.16
WH_0154,2023-12,199.0,7288.99
WH_0155,2023-11,151.8,4527.68
WH_0155,2023-12,170.6,7832.05
WH_0156,2023-11,170.7,4406.86
WH_0156,2023-12,196.9,6621.47
WH_0157,2023-11,179.3,9283.1
WH_0157,2023-12,107.3,7086.4
WH_0158,2023-11,167.3,2768.44
WH_0158,2023-12,151.1,6483.83
WH_0159,2023-11,129.2,6926.4
WH_0159,2023-12,71.2,9483.75
WH_0160,2023-11,171.9,4760.06
WH_0160,2023-12,117.2,2771.44
WH_0161,2023-11,91.2,4761.58
WH_0161,2023-12,136.3,3711.9
WH_0162,2023-11,77.7,8978.95
WH_0162,2023-12,151.3,6325.17
WH_0163,2023-11,71.9,2689.63
WH_0163,2023-12,177.1,8643.86
WH_0164,2023-11,199.2,8248.77
WH_0164,2023-12,168.6,7925.67
WH_0165,2023-11,70.9,2688.71
WH_0165,2023-12,126.0,6868.06
WH_0166,2023-11,68.0,5457.28
WH_0166,2023-12,149.8,7150.38
WH_0167,2023-11,122.1,3765.42
WH_0167,2023-12,117.1,4702.87
WH_0168,2023-11,56.9,8519.18
WH_0168,2023-12,139.9,2146.89
WH_0169,2023-11,96.1,2295.82
WH_0169,2023-12,155.6,4581.25
WH_0170,2023-11,172.5,4543.34
WH_0170,2023-12,189.9,9933.5
WH_0171,2023-11,113.9,3957.7
WH_0171,2023-12,138.5,8106.71
WH_0172,2023-11,105.6,9322.95
WH_0172,2023-12,125.5,3149.14
WH_0173,2023-11,146.5,5592.6
WH_0173,2023-12,185.4,8747.28
WH_0174,2023-11,126.9,2470.19
WH_0174,2023-12,166.5,8318.56
WH_0175,2023-11,83.9,2782.45
WH_0175,2023-12,191.9,9628.07
WH_0176,2023-11,122.0,5510.12
WH_0176,2023-12,186.6,2671.03
WH_0177,2023-11,196.9,6360.43
WH_0177,2023-12,110.4,6441.49
WH_0178,2023-11,99.6,4286.61
WH_0178,2023-12,63.7,9058.14
WH_0179,2023-11,129.6,5626.46
WH_0179,2023-12,187.2,6724.79
WH_0180,2023-11,65.9,4166.55
WH_0180,2023-12,134.9,9426.0
WH_0181,2023-11,198.9,9511.73
WH_0181,2023-12,151.5,7729.47
WH_0182,2023-11,150.9,9213.85
WH_0182,2023-12,159.9,9801.75
WH_0183,2023-11,124.9,2638.09
WH_0183,2023-12,180.7,4986.69
WH_0184,2023-11,84.3,7523.22
WH_0184,2023-12,73.8,8783.75
WH_0185,2023-11,164.5,9694.14
WH_0185,2023-12,167.6,8858.62
WH_0186,2023-11,188.9,6032.37
WH_0186,2023-12,83.8,5967.7
WH_0187,2023-11,131.8,2307.61
WH_0187,2023-12,136.8,2380.75
WH_0188,2023-11,57.0,4443.0
WH_0188,2023-12,77.3,4109.16
WH_0189,2023-11,145.1,5668.7
WH_0189,2023-12,174.2,8313.0
WH_0190,2023-11,102.8,3635.78
WH_0190,2023-12,88.4,5168.6
WH_0191,2023-11,75.4,4453.48
WH_0191,2023-12,156.4,9209.82
WH_0192,2023-11,152.3,8846.64
WH_0192,2023-12,173.2,7110.91
WH_0193,2023-11,198.0,2598.51
WH_0193,2023-12,116.1,6883.37
WH_0194,2023-11,98.0,2300.11
WH_0194,2023-12,141.6,3415.25
WH_0195,2023-11,147.6,6800.57
WH_0195,2023-12,118.8,5298.6
WH_0196,2023-11,85.4,9778.61
WH_0196,2023-12,61.4,5545.53
WH_0197,2023-11,141.3,8084.57
WH_0197,2023-12,142.2,3651.41
WH_0198,2023-11,58.1,3564.25
WH_0198,2023-12,96.8,5821.93
WH_0199,2023-11,132.8,4941.09
WH_0199,2023-12,84.4,7297.42
WH_0200,2023-11,153.1,5651.56
WH_0200,2023-12,193.8,6089.33
WH_0201,2023-11,154.4,2618.04
WH_0201,2023-12,100.6,6863.33
WH_0202,2023-11,51.2,8002.43
WH_0202,2023-12,63.3,4220.8
WH_0203,2023-11,83.4,7330.21
WH_0203,2023-12,113.0,9797.28
WH_0204,2023-11,78.2,8525.25
WH_0204,2023-12,156.3,7826.85
WH_0205,2023-11,96.8,9849.95
WH_0205,2023-12,93.1,5320.56
WH_0206,2023-11,94.8,7119.24
WH_0206,2023-12,178.1,7050.78
WH_0207,2023-11,88.6,2362.61
WH_0207,2023-12,115.2,5556.79
WH_0208,2023-11,98.6,8563.85
WH_0208,2023-12,100.4,2235.11
WH_0209,2023-11,92.1,7756.61
WH_0209,2023-12,119.4,4657.85
WH_0210,2023-11,185.8,8958.27
WH_0210,2023-12,187.8,6475.37
WH_0211,2023-11,181.8,6538.98
WH_0211,2023-12,128.8,6154.01
WH_0212,2023-11,78.3,9857.13
WH_0212,2023-12,106.4,3832.9
WH_0213,2023-11,194.0,2235.18
WH_0213,2023-12,166.7,7062.54
WH_0214,2023-11,193.3,7292.39
WH_0214,2023-12,190.2,2811.82
WH_0215,2023-11,93.9,5645.92
WH_0215,2023-12,128.7,2295.66
WH_0216,2023-11,105.6,7488.56
WH_0216,2023-12,81.9,6544.9
WH_0217,2023-11,70.8,4805.51
WH_0217,2023-12,155.2,9244.58
WH_0218,2023-11,73.6,7217.69
WH_0218,2023-12,68.4,3019.15
WH_0219,2023-11,101.3,7178.84
WH_0219,2023-12,113.9,3548.66
WH_0220,2023-11,194.3,9510.38
WH_0220,2023-12,92.0,9796.84
WH_0221,2023-11,112.6,5259.59
WH_0221,2023-12,194.4,3579.22
WH_0222,2023-11,122.7,2646.93
WH_0222,2023-12,111.8,7503.62
WH_0223,2023-11,84.3,3234.36
WH_0223,2023-12,193.9,5233.83
WH_0224,2023-11,116.2,6740.07
WH_0224,2023-12,96.1,4127.85
WH_0225,2023-11,54.7,7824.64
WH_0225,2023-12,57.0,3101.14
WH_0226,2023-11,185.9,9225.4
WH_0226,2023-12,83.6,6184.49
WH_0227,2023-11,62.0,3751.68
WH_0227,2023-12,135.2,7561.07
WH_0228,2023-11,68.7,4421.77
WH_0228,2023-12,133.0,9046.52
WH_0229,2023-11,192.9,2416.59
WH_0229,2023-12,146.3,9102.02
WH_0230,2023-11,145.3,8590.9
WH_0230,2023-12,102.3,5985.42
WH_0231,2023-11,100.0,9419.46
WH_0231,2023-12,166.7,7603.03
WH_0232,2023-11,191.4,8239.29
WH_0232,2023-12,66.6,9222.69
WH_0233,2023-11,148.5,3662.04
WH_0233,2023-12,53.6,8138.42
WH_0234,2023-11,173.8,7285.84
WH_0234,2023-12,138.2,7133.22
WH_0235,2023-11,96.0,4075.18
WH_0235,2023-12,154.5,5611.45
WH_0236,2023-11,97.3,6443.84
WH_0236,2023-12,181.7,8036.23
WH_0237,2023-11,144.3,3122.11
WH_0237,2023-12,199.4,2143.44
WH_0238,2023-11,106.0,3537.02
WH_0238,2023-12,79.5,6225.4
WH_0239,2023-11,102.1,7093.79
WH_0239,2023-12,161.0,5919.79
WH_0240,2023-11,62.8,7160.56
WH_0240,2023-12,186.0,9900.19
WH_0241,2023-11,68.5,8804.62
WH_0241,2023-12,174.2,3221.99
WH_0242,2023-11,50.8,9076.24
WH_0242,2023-12,87.7,6292.38
WH_0243,2023-11,66.4,5244.08
WH_0243,2023-12,123.0,3783.86
WH_0244,2023-11,158.2,8415.37
WH_0244,2023-12,109.3,7368.16
WH_0245,2023-11,139.5,4844.05
WH_0245,2023-12,196.8,4548.0
WH_0246,2023-11,76.8,4918.7
WH_0246,2023-12,187.3,3850.89
WH_0247,2023-11,160.4,5434.09
WH_0247,2023-12,158.3,7250.66
WH_0248,2023-11,100.7,7233.94
WH_0248,2023-12,118.4,5154.21
WH_0249,2023-11,63.4,3427.74
WH_0249,2023-12,104.8,5469.29
WH_0250,2023-11,74.8,9233.7
WH_0250,2023-12,154.9,4776.05
WH_0251,2023-11,198.3,9756.78
WH_0251,2023-12,100.9,9364.26
WH_0252,2023-11,151.2,4582.92
WH_0252,2023-12,152.3,7496.1
WH_0253,2023-11,187.0,9627.32
WH_0253,2023-12,96.5,6545.72
WH_0254,2023-11,60.5,3458.32
WH_0254,2023-12,139.1,8639.07
WH_0255,2023-11,144.0,4220.62
WH_0255,2023-12,82.5,5582.79
WH_0256,2023-11,67.4,9231.44
WH_0256,2023-12,106.3,2191.71
WH_0257,2023-11,117.3,7038.49
WH_0257,2023-12,197.7,6291.52
WH_0258,2023-11,104.7,4515.1
WH_0258,2023-12,124.5,5931.1
WH_0259,2023-11,183.5,2607.5
WH_0259,2023-12,186.5,4815.58
WH_0260,2023-11,139.4,2569.02
WH_0260,2023-12,196.2,5412.01
WH_0261,2023-11,52.8,8585.24
WH_0261,2023-12,57.4,8543.7
WH_0262,2023-11,65.3,3175.59
WH_0262,2023-12,62.5,8994.19
WH_0263,2023-11,106.0,3429.54
WH_0263,2023-12,162.3,4319.46
WH_0264,2023-11,83.9,4063.39
WH_0264,2023-12,120.5,8709.32
WH_0265,2023-11,174.9,3752.8
WH_0265,2023-12,102.4,9159.4
WH_0266,2023-11,185.6,3892.45
WH_0266,2023-12,148.9,9415.78
WH_0267,2023-11,67.3,3862.02
WH_0267,2023-12,155.8,4365.63
WH_0268,2023-11,161.1,2477.43
WH_0268,2023-12,118.1,8592.66
WH_0269,2023-11,60.6,9512.89
WH_0269,2023-12,96.7,4516.7
WH_0270,2023-11,153.9,7899.44
WH_0270,2023-12,150.5,2547.33
WH_0271,2023-11,65.5,5672.43
WH_0271,2023-12,166.8,9873.81
WH_0272,2023-11,127.7,6712.45
WH_0272,2023-12,185.2,6095.18
WH_0273,2023-11,128.9,5055.83
WH_0273,2023-12,53.3,7590.07
WH_0274,2023-11,106.5,8392.47
WH_0274,2023-12,140.0,2345.76
WH_0275,2023-11,119.8,2266.53
WH_0275,2023-12,101.1,4951.64
WH_0276,2023-11,110.6,6243.86
WH_0276,2023-12,123.3,8492.09
WH_0277,2023-11,163.4,3962.0
WH_0277,2023-12,152.7,7758.82
WH_0278,2023-11,156.1,5524.65
WH_0278,2023-12,88.2,3998.26
WH_0279,2023-11,141.3,8483.46
WH_0279,2023-12,187.8,8918.01
WH_0280,2023-11,171.9,3556.8
WH_0280,2023-12,180.5,6160.1
WH_0281,2023-11,104.6,4937.7
WH_0281,2023-12,198.3,2307.33
WH_0282,2023-11,176.2,6680.03
WH_0282,2023-12,113.3,9855.63
WH_0283,2023-11,127.8,9713.48
WH_0283,2023-12,83.3,9878.23
WH_0284,2023-11,96.5,3620.52
WH_0284,2023-12,135.9,8227.43
WH_0285,2023-11,130.0,8891.4
WH_0285,2023-12,183.6,7699.85
WH_0286,2023-11,151.0,9683.87
WH_0286,2023-12,164.9,5704.6
WH_0287,2023-11,81.1,5539.62
WH_0287,2023-12,126.3,5351.95
WH_0288,2023-11,177.2,8165.21
WH_0288,2023-12,61.9,6115.0
WH_0289,2023-11,127.6,9986.39
WH_0289,2023-12,120.5,6527.16
WH_0290,2023-11,111.0,6309.73
WH_0290,2023-12,119.7,2873.66
WH_0291,2023-11,86.0,3792.51
WH_0291,2023-12,56.4,2889.35
WH_0292,2023-11,121.1,8112.83
WH_0292,2023-12,145.7,2911.72
WH_0293,2023-11,146.5,9306.38
WH_0293,2023-12,115.8,8506.21
WH_0294,2023-11,53.8,8016.41
WH_0294,2023-12,84.6,9129.48
WH_0295,2023-11,87.5,6422.03
WH_0295,2023-12,80.4,7173.21
WH_0296,2023-11,96.2,5548.87
WH_0296,2023-12,103.2,8728.36
WH_0297,2023-11,127.2,5597.44
WH_0297,2023-12,50.1,6914.06
WH_0298,2023-11,98.3,4731.58
WH_0298,2023-12,153.1,2156.98
WH_0299,2023-11,155.7,8200.04
WH_0299,2023-12,106.1,3926.27
WH_0300,2023-11,132.1,4898.27
WH_0300,2023-12,85.0,7856.92
WH_0301,2023-11,183.5,8838.65
WH_0301,2023-12,191.1,4734.4
WH_0302,2023-11,199.3,8017.97
WH_0302,2023-12,68.6,6101.82
WH_0303,2023-11,65.5,7905.89
WH_0303,2023-12,106.1,8378.55
WH_0304,2023-11,100.8,7750.24
WH_0304,2023-12,124.6,2989.78
WH_0305,2023-11,52.7,6002.36
WH_0305,2023-12,196.5,6215.91
WH_0306,2023-11,144.4,5523.13
WH_0306,2023-12,90.9,5819.79
WH_0307,2023-11,110.6,2520.99
WH_0307,2023-12,163.7,3842.83
WH_0308,2023-11,153.6,5262.24
WH_0308,2023-12,199.7,3731.78
WH_0309,2023-11,155.5,9223.69
WH_0309,2023-12,72.2,6607.35
WH_0310,2023-11,67.9,4167.0
WH_0310,2023-12,93.9,8012.02
WH_0311,2023-11,152.3,3873.31
WH_0311,2023-12,107.5,8983.69
WH_0312,2023-11,113.2,6256.37
WH_0312,2023-12,68.7,3413.09
WH_0313,2023-11,87.8,6822.64
WH_0313,2023-12,114.0,8120.97
WH_0314,2023-11,103.3,2353.8
WH_0314,2023-12,159.3,3007.91
WH_0315,2023-11,168.4,4945.73
WH_0315,2023-12,81.6,3582.03
WH_0316,2023-11,162.4,4426.14
WH_0316,2023-12,63.4,2627.03
WH_0317,2023-11,94.8,7114.47
WH_0317,2023-12,50.4,9544.54
WH_0318,2023-11,74.6,9466.12
WH_0318,2023-12,99.7,8994.68
WH_0319,2023-11,82.1,5684.21
WH_0319,2023-12,192.0,2451.98
WH_0320,2023-11,121.4,8202.13
WH_0320,2023-12,78.2,3935.7
WH_0321,2023-11,193.2,8917.13
WH_0321,2023-12,169.9,9967.05
WH_0322,2023-11,166.1,6584.81
WH_0322,2023-12,92.9,2799.49
WH_0323,2023-11,138.7,6186.64
WH_0323,2023-12,102.6,9074.6
WH_0324,2023-11,159.0,6229.33
WH_0324,2023-12,181.3,7126.81
WH_0325,2023-11,121.6,5061.44
WH_0325,2023-12,59.6,2761.07
WH_0326,2023-11,65.9,4820.5
WH_0326,2023-12,111.8,5766.98
WH_0327,2023-11,134.3,6270.13
WH_0327,2023-12,91.9,6064.83
WH_0328,2023-11,93.8,6121.35
WH_0328,2023-12,136.0,7494.41
WH_0329,2023-11,194.7,4044.95
WH_0329,2023-12,131.0,7733.95
WH_0330,2023-11,171.2,7738.91
WH_0330,2023-12,161.2,7383.0
WH_0331,2023-11,162.7,8571.59
WH_0331,2023-12,128.1,4102.97
WH_0332,2023-11,113.4,8120.68
WH_0332,2023-12,67.6,9730.53
WH_0333,2023-11,70.4,3951.52
WH_0333,2023-12,66.9,9752.84
WH_0334,2023-11,83.5,5141.97
WH_0334,2023-12,191.8,9265.26
WH_0335,2023-11,137.8,8282.1
WH_0335,2023-12,149.6,5139.48
WH_0336,2023-11,161.2,5419.63
WH_0336,2023-12,60.2,3891.08
WH_0337,2023-11,110.9,9204.84
WH_0337,2023-12,51.2,2284.12
WH_0338,2023-11,86.1,8578.03
WH_0338,2023-12,77.1,7733.55
WH_0339,2023-11,51.2,5898.05
WH_0339,2023-12,75.9,4490.4
WH_0340,2023-11,109.2,9550.22
WH_0340,2023-12,100.0,7007.23
WH_0341,2023-11,75.6,4086.49
WH_0341,2023-12,195.0,2133.23
WH_0342,2023-11,187.1,4689.53
WH_0342,2023-12,69.2,3698.02
WH_0343,2023-11,181.9,6256.28
WH_0343,2023-12,112.2,7072.04
WH_0344,2023-11,162.2,6346.12
WH_0344,2023-12,114.0,2890.59
WH_0345,2023-11,194.8,8263.37
WH_0345,2023-12,85.3,6177.71
WH_0346,2023-11,123.2,8842.05
WH_0346,2023-12,173.4,9668.09
WH_0347,2023-11,103.9,5519.24
WH_0347,2023-12,125.6,9222.94
WH_0348,2023-11,114.4,2989.9
WH_0348,2023-12,62.5,9952.34
WH_0349,2023-11,65.0,6972.94
